scorer,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000
individuals,tap,tap,tap,tap,tap,tap,tap,tap,tap,cup,cup,cup,cup,cup,cup,cup,cup,cup,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1899.781,76.948,0.8399999737739563,1868.984,52.471,0.9980000257492065,1853.18,37.549,0.8190000057220459,1119.19,397.631,1.0,1127.126,434.453,1.0,1122.319,470.962,1.0,1133.547,339.718,1.0,1123.734,385.222,1.0,1123.038,428.511,1.0,683.614,523.139,1.0,687.467,576.033,1.0,693.333,623.213,1.0,1815.072,461.683,1.0,1783.499,528.868,1.0,1759.104,590.986,1.0,1719.009,648.683,1.0,1690.275,713.057,1.0
1,1899.701,77.682,0.8700000047683716,1867.659,53.361,0.9990000128746033,1853.345,36.502,0.7839999794960022,1120.252,397.967,1.0,1127.342,438.792,1.0,1122.85,472.007,1.0,1131.613,339.694,1.0,1123.595,383.049,1.0,1123.207,428.3,1.0,682.917,522.856,1.0,687.063,576.653,1.0,693.706,623.739,1.0,1816.065,463.558,1.0,1784.971,528.458,1.0,1754.383,592.4,1.0,1724.768,646.967,1.0,1687.495,711.855,1.0
2,1898.667,78.103,0.9649999737739563,1865.465,53.146,0.9980000257492065,1854.097,42.994,0.3330000042915344,1121.065,397.606,1.0,1126.24,437.969,1.0,1121.876,471.274,1.0,1131.045,340.028,1.0,1124.379,384.27,1.0,1123.676,428.955,1.0,682.924,522.806,1.0,686.85,576.785,1.0,693.509,623.658,1.0,1816.2,464.123,1.0,1785.84,527.363,1.0,1754.965,590.909,1.0,1720.007,646.116,1.0,1691.641,713.77,1.0
3,1898.779,77.218,0.9860000014305115,1864.897,52.835,0.9990000128746033,1851.729,4.287,0.2759999930858612,1119.943,397.831,1.0,1126.071,437.489,1.0,1122.325,470.977,1.0,1132.274,339.215,1.0,1124.303,383.68,1.0,1123.906,428.46,1.0,683.09,522.648,1.0,686.95,575.948,1.0,693.745,623.405,1.0,1817.173,464.327,1.0,1784.957,526.989,1.0,1753.384,593.49,1.0,1718.727,646.719,1.0,1692.208,713.535,1.0
4,1899.204,77.056,0.9890000224113464,1865.651,52.54,0.9990000128746033,1859.886,12.033,0.057999998331069946,1120.23,396.483,1.0,1127.782,432.801,1.0,1130.39,471.331,1.0,1131.452,339.482,1.0,1124.437,382.914,1.0,1124.532,429.027,1.0,683.15,522.221,1.0,686.648,575.516,1.0,693.484,623.554,1.0,1816.737,464.47,1.0,1783.708,528.362,1.0,1751.348,592.399,1.0,1719.992,646.56,1.0,1689.938,712.965,1.0
5,1898.872,76.898,0.9860000014305115,1863.78,53.496,1.0,1853.442,44.279,0.03200000151991844,1120.688,401.6,1.0,1128.125,434.414,1.0,1129.746,470.807,1.0,1131.02,339.962,1.0,1124.277,383.383,1.0,1123.782,428.128,1.0,684.273,521.708,1.0,682.044,572.872,1.0,693.946,623.877,1.0,1815.525,464.484,1.0,1785.386,527.101,1.0,1751.558,591.796,1.0,1720.933,645.739,1.0,1690.64,713.019,1.0
6,1899.407,76.547,0.9879999756813049,1864.354,53.77,1.0,,,1.0,1121.301,401.361,1.0,1128.095,434.414,1.0,1131.564,471.346,1.0,1131.629,339.857,1.0,1124.332,383.182,1.0,1124.339,428.39,1.0,684.352,522.289,1.0,682.108,574.104,1.0,694.186,623.879,1.0,1816.804,464.24,1.0,1784.696,528.91,1.0,1753.316,591.524,1.0,1721.561,644.665,1.0,1688.79,713.658,1.0
