Tool 1 :C:\Program Files (x86)\Northern Digital Inc\8700449.rom
Tool 2 :C:\Program Files (x86)\Northern Digital Inc\8700339.rom
YCB Object No.:506374
Frame No: TimeStamp--Tool 1, 2: Tx,Ty, Tz, Q0, Qx, Qy, Qz, *** Tx,Ty, Tz, Q0, Qx, Qy, Qz
Measurement Completed for 19/08/2022 at 4:13 PM.

Frame 1, 2022-08-19-16-11-43.965982, Both Rigid bodies out of volume?
Frame 4, 2022-08-19-16-11-44.025985, Both Rigid bodies out of volume?
Frame 7, 2022-08-19-16-11-44.076988, Both Rigid bodies out of volume?
Frame 10, 2022-08-19-16-11-44.125991, Both Rigid bodies out of volume?
Frame 13, 2022-08-19-16-11-44.175994, Both Rigid bodies out of volume?
Frame 16, 2022-08-19-16-11-44.225996, Both Rigid bodies out of volume?
Frame 19, 2022-08-19-16-11-44.276000, Both Rigid bodies out of volume?
Frame 22, 2022-08-19-16-11-44.326002, Both Rigid bodies out of volume?
Frame 25, 2022-08-19-16-11-44.375005, Both Rigid bodies out of volume?
Frame 28, 2022-08-19-16-11-44.426008, Both Rigid bodies out of volume?
Frame 31, 2022-08-19-16-11-44.475011, Both Rigid bodies out of volume?
Frame 34, 2022-08-19-16-11-44.526014, Both Rigid bodies out of volume?
Frame 37, 2022-08-19-16-11-44.576016, Both Rigid bodies out of volume?
Frame 40, 2022-08-19-16-11-44.625020, Both Rigid bodies out of volume?
Frame 43, 2022-08-19-16-11-44.676023, Both Rigid bodies out of volume?
Frame 46, 2022-08-19-16-11-44.726025, Both Rigid bodies out of volume?
Frame 49, 2022-08-19-16-11-44.775028, Both Rigid bodies out of volume?
Frame 52, 2022-08-19-16-11-44.826031, Both Rigid bodies out of volume?
Frame 55, 2022-08-19-16-11-44.876034, Both Rigid bodies out of volume?
Frame 58, 2022-08-19-16-11-44.927037, Both Rigid bodies out of volume?
Frame 61, 2022-08-19-16-11-44.976039, Both Rigid bodies out of volume?
Frame 64, 2022-08-19-16-11-45.027042, Both Rigid bodies out of volume?
Frame 67, 2022-08-19-16-11-45.076045, Both Rigid bodies out of volume?
Frame 70, 2022-08-19-16-11-45.126048, Both Rigid bodies out of volume?
Frame 73, 2022-08-19-16-11-45.177051, Both Rigid bodies out of volume?
Frame 76, 2022-08-19-16-11-45.226054, Both Rigid bodies out of volume?
Frame 79, 2022-08-19-16-11-45.276057, Both Rigid bodies out of volume?
Frame 82, 2022-08-19-16-11-45.325059, Both Rigid bodies out of volume?
Frame 85, 2022-08-19-16-11-45.376062, Both Rigid bodies out of volume?
Frame 88, 2022-08-19-16-11-45.426065, Both Rigid bodies out of volume?
Frame 91, 2022-08-19-16-11-45.475068, Both Rigid bodies out of volume?
Frame 94, 2022-08-19-16-11-45.526071, Both Rigid bodies out of volume?
Frame 97, 2022-08-19-16-11-45.575074, Both Rigid bodies out of volume?
