scorer,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,middle,middle,middle,tail,tail,tail,head,head,head,middle,middle,middle,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1461.2671718940098,521.4364610405595,0.01,1458.0532983631567,382.47249350994986,1.0,1459.2675242426174,592.6878759778463,1.0,,,,,,,,,,1225.711,441.35,0.9869999885559082,1222.874,495.785,0.9139999747276306,1217.956,539.976,0.9900000095367432,508.256,429.461,0.6610000133514404,562.8780484222247,547.871,0.01,619.86,668.37,0.7549999952316284,456.147,180.071,0.9810000061988831,456.978,244.812,0.878000020980835,441.975,332.799,0.949999988079071
1,1464.4346106930877,521.8789005452562,0.01,1463.6357055613717,557.9347467549751,0.01,1465.6840767846463,596.1158407137192,0.01,,,,,,,,,,1225.874,441.35,0.9879999756813049,1222.929,497.536,0.9330000281333923,1217.961,540.021,0.9900000095367432,508.459,429.628,0.6990000009536743,563.835,548.336,0.01,620.005,668.865,0.30399999022483826,456.552,180.505,0.9819999933242798,457.033,245.044,0.8730000257492065,441.975,332.799,0.9449999928474426
2,1464.4346106930877,521.8789005452562,1.0,1463.6357055613717,558.6934037077558,1.0,1466.4123193744656,603.7645014063329,1.0,,,,,,,,,,1226.16,441.35,0.9990000128746033,1225.592,497.536,0.9929999709129333,1221.945,540.453,0.9990000128746033,513.161,431.598,0.9620000123977661,564.267,548.748,0.20499999821186066,636.177,669.115,0.9599999785423279,456.693,180.541,0.9900000095367432,457.052,246.201,0.9710000157356262,441.975,333.071,0.9679999947547913
3,1463.282330092627,521.4364610405595,1.0,1465.039,558.6934037077558,1.0,1466.4123193744656,602.119,1.0,,,,,,,,,,1225.874,441.528,0.9990000128746033,1225.598,496.071,0.9900000095367432,1222.809,540.453,0.9990000128746033,513.161,431.944,0.9779999852180481,563.835,548.336,0.9210000038146973,636.177,669.115,0.9520000219345093,456.693,180.541,0.9900000095367432,457.052,246.499,0.9710000157356262,441.975,333.071,0.968999981880188
4,1461.2671718940098,521.2513299750239,1.0,1464.28,559.777,1.0,1465.426,601.722,0.01,,,,,,,,,,1225.711,441.528,0.9990000128746033,1225.914,496.071,0.9929999709129333,1222.937,540.453,0.9990000128746033,513.217,431.944,0.9869999885559082,564.267,548.336,0.9520000219345093,636.177,668.865,0.9760000109672546,456.693,180.541,0.9890000224113464,457.052,246.515,0.968999981880188,441.975,333.071,0.972000002861023
5,1463.282330092627,521.2513299750239,0.9520000219345093,1464.425,559.9363245084419,0.9990000128746033,1465.426,601.809,0.9990000128746033,,,,,,,,,,1221.586,442.319,0.9990000128746033,1225.991,497.362,0.9980000257492065,1223.946,540.453,0.9990000128746033,514.018,431.944,0.9959999918937683,565.263,548.748,0.9570000171661377,636.148,668.865,0.9240000247955322,456.7,180.944,0.9909999966621399,459.394,248.14,0.9710000157356262,443.215,333.071,0.9900000095367432
6,1463.282330092627,516.659,0.36399999260902405,1464.28,559.982,0.9990000128746033,1465.171,601.809,0.9980000257492065,,,,,,,,,,1221.282,442.319,0.9990000128746033,1225.991,496.071,0.9959999918937683,1223.946,540.408,0.9990000128746033,514.018,431.27,0.9990000128746033,565.44,548.913,0.9470000267028809,636.087,669.115,0.8519999980926514,456.993,180.944,0.9909999966621399,459.696,248.373,0.9760000109672546,443.215,333.176,0.9900000095367432
