scorer,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,middle,middle,middle,tail,tail,tail,head,head,head,middle,middle,middle,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1464.117,519.133,1.0,1463.266,559.379,1.0,1467.583,598.37,0.9959999918937683,,,,,,,,,,1385.866,650.626,1.0,1373.313,693.983,0.9950000047683716,1370.084,736.771,0.9929999709129333,508.261,432.205,0.9950000047683716,573.447,550.905,0.9599999785423279,630.323,669.215,0.8339999914169312,457.512,181.794,0.984000027179718,459.001,246.961,0.9670000076293945,441.229,335.141,0.9810000061988831
1,1464.254,519.68,1.0,1464.121,560.021,1.0,1467.583,598.394,0.9909999966621399,,,,,,,,,,1385.866,651.195,1.0,1373.313,694.455,0.9950000047683716,1370.225,736.883,0.9940000176429749,508.261,432.205,0.9940000176429749,573.447,551.088,0.9610000252723694,630.505,669.215,0.8579999804496765,457.879,181.986,0.9819999933242798,459.032,246.961,0.9710000157356262,441.234,335.155,0.9810000061988831
2,1464.832,519.68,1.0,1464.323,560.277,1.0,1467.583,599.365,0.9980000257492065,,,,,,,,,,1385.866,651.763,1.0,1373.313,694.455,0.9990000128746033,1370.225,737.06,1.0,508.261,432.205,0.9980000257492065,573.447,554.085,0.9950000047683716,630.74,669.215,0.8690000176429749,457.879,181.986,0.9909999966621399,461.241,246.961,0.9929999709129333,442.367,335.443,0.9909999966621399
3,1465.384,519.68,1.0,1464.323,560.277,1.0,1467.583,599.419,0.996999979019165,,,,,,,,,,1385.522,651.767,1.0,1372.578,694.292,0.9990000128746033,1370.084,737.129,0.9990000128746033,508.261,431.957,0.9980000257492065,573.447,554.085,0.9860000014305115,634.307,669.215,0.9300000071525574,457.617,181.794,0.9890000224113464,461.5,246.697,0.9929999709129333,442.367,335.443,0.9900000095367432
4,1465.384,519.68,1.0,1463.98,560.277,1.0,1467.583,599.495,0.9980000257492065,,,,,,,,,,1385.151,652.143,1.0,1371.963,694.292,0.9990000128746033,1369.603,737.638,0.9990000128746033,508.261,431.373,0.9990000128746033,573.447,554.085,0.9789999723434448,635.743,669.215,0.8930000066757202,457.512,181.537,0.9919999837875366,461.732,246.456,0.9940000176429749,442.367,335.443,0.9909999966621399
5,1465.384,519.577,1.0,1464.287,559.135,1.0,1467.942,599.993,1.0,,,,,,,,,,1384.411,653.328,0.9990000128746033,1370.539,694.376,1.0,1368.901,739.515,1.0,509.532,431.086,0.9869999885559082,573.67,548.034,0.9819999933242798,635.743,669.709,0.9909999966621399,457.365,180.057,0.9890000224113464,464.148,246.411,0.9959999918937683,441.284,334.77,0.9959999918937683
6,1465.217,519.577,1.0,1464.287,559.135,1.0,1468.119,599.993,0.9990000128746033,,,,,,,,,,1384.024,653.594,0.9990000128746033,1370.18,694.292,1.0,1368.901,739.629,1.0,509.631,430.972,0.9869999885559082,575.187,548.034,0.9890000224113464,634.307,669.857,0.9990000128746033,457.349,180.057,0.9869999885559082,464.148,246.35,0.9959999918937683,441.284,334.77,0.9959999918937683
