scorer,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,middle,middle,middle,tail,tail,tail,head,head,head,middle,middle,middle,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1286.171,517.129,1.0,1282.688,560.663,1.0,1278.296,599.909,0.9990000128746033,,,,,,,,,,1180.017,649.979,1.0,1181.644,697.184,0.9860000014305115,1181.682,738.231,0.996999979019165,284.692,426.098,0.921999990940094,372.118,547.432,0.671999990940094,436.978,669.204,0.6370000243186951,191.911,180.525,0.9929999709129333,187.245,243.118,0.9810000061988831,161.106,332.837,0.7799999713897705
1,1286.171,518.106,1.0,1282.688,560.663,1.0,1280.828,600.05,0.9990000128746033,,,,,,,,,,1180.017,650.911,1.0,1181.933,697.554,0.9929999709129333,1182.608,738.532,0.9980000257492065,285.377,426.43,0.9330000281333923,372.203,547.891,0.5540000200271606,437.332,669.204,0.8220000267028809,191.911,180.854,0.9929999709129333,187.591,243.401,0.9789999723434448,161.106,333.062,0.7820000052452087
2,1286.171,518.106,1.0,1282.805,560.663,1.0,1280.876,600.851,1.0,,,,,,,,,,1181.393,651.243,1.0,1182.073,698.538,0.9829999804496765,1182.608,739.091,0.9990000128746033,294.101,426.754,0.9890000224113464,379.15,548.632,0.9850000143051147,443.759,669.204,0.8610000014305115,192.136,182.151,0.9940000176429749,188.375,243.684,0.9909999966621399,161.496,333.062,0.9620000123977661
3,1286.171,518.106,1.0,1282.688,560.586,1.0,1280.828,600.944,1.0,,,,,,,,,,1180.017,651.249,1.0,1181.933,697.554,0.9769999980926514,1182.342,739.22,0.9990000128746033,294.976,426.754,0.9900000095367432,379.825,549.157,0.968999981880188,444.246,669.204,0.8650000095367432,192.136,182.151,0.9929999709129333,188.481,244.162,0.9900000095367432,161.106,333.062,0.9559999704360962
4,1286.171,517.723,1.0,1281.438,560.586,1.0,1278.649,601.221,1.0,,,,,,,,,,1179.579,653.108,1.0,1181.644,697.184,0.9819999933242798,1181.682,739.545,0.9990000128746033,295.613,426.754,0.9860000014305115,379.977,550.386,0.9739999771118164,445.855,668.953,0.8709999918937683,192.136,182.151,0.9950000047683716,188.961,244.393,0.9909999966621399,160.827,333.062,0.9559999704360962
5,1286.793,517.723,1.0,1278.819,559.894,1.0,1278.649,601.609,1.0,,,,,,,,,,1176.519,653.494,0.9990000128746033,1178.593,693.731,0.9890000224113464,1179.867,739.545,1.0,299.139,427.183,0.9900000095367432,379.977,552.816,0.9919999837875366,446.329,668.953,0.9599999785423279,192.832,182.045,0.9929999709129333,188.988,245.014,0.9940000176429749,160.827,333.062,0.9959999918937683
6,1286.793,517.723,1.0,1278.819,559.894,1.0,1278.649,601.626,1.0,,,,,,,,,,1176.519,653.494,0.9990000128746033,1178.412,693.295,0.9860000014305115,1179.582,739.545,1.0,299.139,427.233,0.953000009059906,379.977,552.816,0.9679999947547913,445.855,668.953,0.8880000114440918,192.832,182.043,0.9929999709129333,189.146,245.24,0.9929999709129333,160.843,332.979,0.996999979019165
