scorer,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000
individuals,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,middle,middle,middle,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1430.7923004203953,493.1667067278581,1.0,1474.5652346799234,507.69856757341535,1.0,1513.648534192695,521.2753408622814,1.0,1097.136,348.125,0.8230000138282776,1098.301,389.461,0.9399999976158142,1104.203,437.302,0.9900000095367432,468.474,452.101,0.7929999828338623,,,,587.529,682.655,0.9340000152587891,457.234,179.793,0.9620000123977661,458.385,243.964,0.8450000286102295,439.001,337.326,0.9110000133514404
1,1430.7923004203953,495.29610461599907,1.0,1476.417,507.7663219622725,1.0,1527.4143835481739,523.6960852155704,0.01,1097.176,348.125,0.8349999785423279,1098.353,389.887,0.9639999866485596,1104.203,437.385,0.9940000176429749,468.474,452.101,0.9599999785423279,,,,587.529,683.059,0.9079999923706055,457.234,180.102,0.9739999771118164,458.385,244.006,0.8939999938011169,439.056,337.326,0.8989999890327454
2,1430.7923004203953,496.796872357421,0.01,1478.357,510.287,1.0,1530.0540938247918,524.567,0.01,1097.407,348.125,0.847000002861023,1098.409,389.975,0.9480000138282776,1104.203,437.779,0.9929999709129333,468.474,452.101,0.9129999876022339,,,,587.529,683.114,0.9020000100135803,457.234,180.12,0.9779999852180481,458.385,244.19,0.8980000019073486,439.288,337.326,0.902999997138977
3,1426.784,501.176,1.0,1478.357,509.97,0.9879999756813049,1531.475,524.567,0.996999979019165,1097.671,344.22,0.9959999918937683,1098.353,390.143,0.9950000047683716,1104.166,438.685,0.9990000128746033,467.386,451.213,0.9990000128746033,,,,586.885,683.298,0.9900000095367432,456.157,180.77,0.9919999837875366,457.839,244.992,0.9610000252723694,439.288,337.268,0.9769999980926514
4,1426.723,501.351,1.0,1478.404,510.287,0.9929999709129333,1531.682,524.64,0.996999979019165,1097.671,344.19,0.9959999918937683,1098.409,390.222,0.9950000047683716,1104.166,438.734,0.9990000128746033,467.131,451.213,0.9990000128746033,,,,586.885,683.315,0.9919999837875366,456.157,180.77,0.9919999837875366,457.839,245.528,0.9620000123977661,440.653,337.085,0.9779999852180481
5,1426.68,501.575,1.0,1478.404,510.505,0.9919999837875366,1531.877,524.667,0.996999979019165,1097.671,344.183,0.9959999918937683,1098.409,390.306,0.9950000047683716,1104.143,438.752,0.9990000128746033,467.131,451.009,0.9990000128746033,,,,586.885,683.377,0.9940000176429749,456.157,180.77,0.9919999837875366,457.839,245.662,0.9629999995231628,440.653,335.712,0.9769999980926514
6,1417.785,505.353,0.9990000128746033,1480.115,512.37,0.9959999918937683,1531.992,524.918,1.0,1097.278,342.777,1.0,1098.372,391.452,0.9990000128746033,1104.143,439.595,0.9990000128746033,467.131,450.584,1.0,532.018,579.607,0.21799999475479126,586.885,683.377,0.9869999885559082,456.311,180.37,0.9919999837875366,458.797,246.501,0.9879999756813049,438.57,334.735,0.9959999918937683
