scorer,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000
individuals,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,middle,middle,middle,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1250.8193883051804,486.46001653808236,1.0,1300.5694535474706,502.7433118048009,1.0,1353.0557357100354,521.645689492033,1.0,922.836,348.334,0.43700000643730164,931.445,395.022,0.7710000276565552,939.296,436.702,0.9660000205039978,236.459,451.585,0.30399999022483826,277.71100496277904,549.7428858560794,1.0,395.157,682.923,0.9789999723434448,193.7,179.245,0.9760000109672546,187.38,241.954,0.9900000095367432,158.98,333.076,0.8349999785423279
1,1250.885,493.1692788250241,1.0,1300.5694535474706,505.4492800569079,1.0,1353.596,522.3884532329861,1.0,922.916,348.334,0.5109999775886536,931.445,395.022,0.7450000047683716,939.296,436.869,0.9800000190734863,236.459,451.585,0.421999990940094,295.101339950372,554.5081141439206,1.0,395.157,682.923,0.8610000014305115,193.7,179.384,0.9639999866485596,187.426,242.096,0.9900000095367432,159.089,333.129,0.8610000014305115
2,1251.023,498.1231177814861,1.0,1300.5694535474706,514.429,0.01,1353.596,524.6839812931944,0.01,922.97,348.334,0.4880000054836273,931.445,395.022,0.8579999804496765,939.296,436.989,0.984000027179718,236.459,451.585,0.5669999718666077,298.159,561.519,1.0,395.71,682.923,0.906000018119812,193.7,179.806,0.9679999947547913,187.516,242.408,0.9900000095367432,159.132,333.164,0.8629999756813049
3,1251.023,503.749,1.0,1298.063,514.429,0.9580000042915344,1353.325,525.761,0.9860000014305115,923.001,343.895,0.9950000047683716,930.949,394.108,0.9710000157356262,939.296,438.386,0.9929999709129333,235.962,450.086,0.984000027179718,298.29,562.232,0.902999997138977,395.157,682.897,0.9829999804496765,191.126,181.01,0.984000027179718,187.516,242.977,0.9850000143051147,161.113,333.543,0.9470000267028809
4,1251.023,503.857,1.0,1297.778,514.429,0.9399999976158142,1353.325,526.046,0.9779999852180481,923.267,343.569,0.9940000176429749,930.346,393.886,0.9580000042915344,938.816,438.483,0.996999979019165,235.931,449.881,0.9860000014305115,298.29,562.232,0.847000002861023,395.116,682.897,0.9810000061988831,191.126,181.719,0.984000027179718,187.604,243.285,0.984000027179718,161.19,333.702,0.9459999799728394
5,1250.885,503.857,1.0,1297.585,514.25,0.9559999704360962,1353.224,526.182,0.9739999771118164,923.267,343.559,0.9940000176429749,929.687,392.812,0.9729999899864197,938.539,438.844,0.996999979019165,235.822,449.742,0.9850000143051147,298.159,561.785,0.4860000014305115,395.019,682.897,0.9800000190734863,191.126,181.839,0.9860000014305115,187.604,243.292,0.9860000014305115,161.199,333.719,0.9419999718666077
6,1248.349,503.749,1.0,1297.48,512.873,0.9959999918937683,1352.076,526.566,1.0,923.267,342.535,1.0,928.611,392.812,0.9980000257492065,938.404,440.565,0.9990000128746033,229.25,449.688,0.9990000128746033,292.959,561.785,0.9449999928474426,391.341,684.112,0.9860000014305115,191.362,182.125,0.9860000014305115,188.396,243.285,0.9909999966621399,161.199,333.702,0.9589999914169312
