scorer,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,tail,tail,tail,head,head,head,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,976.375,454.057,1.0,1022.899,488.895,1.0,1342.763,446.504,1.0,1318.544,506.11,1.0,999.425,430.819,1.0,1003.5,472.047,1.0,1008.883,502.985,1.0,1163.226,115.864,0.9810000061988831,1164.038,235.575,0.24500000476837158,1168.439,326.388,0.9990000128746033,488.773,33.691,0.9919999837875366,524.139,94.487,0.9950000047683716,551.512,182.558,0.9959999918937683
1,976.478,455.176,1.0,1023.51,489.016,1.0,1343.95,446.504,1.0,1318.919,506.11,1.0,999.483,431.638,1.0,1003.61,472.409,1.0,1009.099,504.258,1.0,1163.567,116.752,0.968999981880188,1172.144,235.806,0.31700000166893005,1168.723,327.109,0.9990000128746033,488.779,33.735,0.9929999709129333,524.15,94.596,0.9950000047683716,551.512,182.979,0.9959999918937683
2,979.228,455.176,0.9990000128746033,1024.511,489.548,1.0,1343.95,446.504,1.0,1323.623,506.258,1.0,1001.731,431.638,1.0,1008.93,473.245,1.0,1009.583,504.861,1.0,1163.638,116.752,0.984000027179718,1174.66,235.806,0.9869999885559082,1168.891,329.174,0.9990000128746033,488.779,33.837,0.996999979019165,524.547,96.163,0.9919999837875366,551.512,183.157,0.9959999918937683
3,979.738,454.057,1.0,1023.51,489.548,1.0,1343.219,442.361,1.0,1323.623,506.746,1.0,1002.177,431.638,1.0,1008.99,472.409,1.0,1010.024,504.861,1.0,1163.567,116.752,0.9929999709129333,1177.466,235.874,0.9729999899864197,1169.814,329.174,0.9980000257492065,488.779,33.837,0.9959999918937683,524.547,96.163,0.9909999966621399,551.298,183.157,0.9959999918937683
4,980.069,453.861,1.0,1022.899,489.778,1.0,1342.763,442.331,1.0,1323.623,507.739,1.0,1003.505,431.638,1.0,1008.99,472.047,1.0,1010.024,504.861,1.0,1163.226,116.872,0.9929999709129333,1179.015,235.874,0.9710000157356262,1171.204,329.174,0.9990000128746033,488.635,33.837,0.9959999918937683,524.547,96.163,0.9879999756813049,551.142,183.157,0.9959999918937683
5,983.576,452.169,1.0,1021.385,489.778,1.0,1343.219,441.694,1.0,1323.9,507.739,1.0,1004.305,431.749,1.0,1009.2,469.385,1.0,1011.369,504.952,1.0,1158.638,117.545,0.9869999885559082,1177.466,235.874,0.9869999885559082,1172.702,327.458,0.9980000257492065,488.259,33.765,0.9959999918937683,524.55,95.359,0.9909999966621399,551.142,184.2,0.9959999918937683
6,983.888,452.169,1.0,1021.385,489.548,1.0,1343.219,441.329,1.0,1323.9,507.739,1.0,1004.305,432.009,1.0,1009.324,469.195,1.0,1011.391,505.461,1.0,1158.638,117.608,0.9900000095367432,1177.466,235.726,0.9829999804496765,1172.702,327.326,0.9990000128746033,488.259,33.693,0.996999979019165,524.55,95.278,0.9909999966621399,551.142,184.265,0.9959999918937683
