scorer,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,tail,tail,tail,head,head,head,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,840.616,453.888,0.984000027179718,848.563,485.438,1.0,1164.759,451.047,1.0,1152.486,503.83,1.0,826.965,429.88,1.0,830.812,463.887,1.0,844.555,505.386,1.0,995.624,118.483,0.9929999709129333,1012.58,227.687,0.7760000228881836,1020.324,326.782,0.9990000128746033,254.985,32.302,0.996999979019165,298.167,94.635,0.9789999723434448,335.276,183.149,0.9940000176429749
1,841.911,453.934,0.9869999885559082,850.794,485.438,1.0,1165.534,451.047,1.0,1152.486,503.83,1.0,827.293,430.819,1.0,830.907,463.887,1.0,844.726,505.755,1.0,999.029,119.165,0.9940000176429749,1012.894,227.905,0.6769999861717224,1021.164,327.044,0.9990000128746033,254.985,32.302,0.996999979019165,298.225,94.635,0.9789999723434448,335.343,183.15,0.9940000176429749
2,841.911,453.978,1.0,850.794,486.244,1.0,1165.7,451.047,1.0,1152.514,503.83,1.0,831.819,431.406,1.0,833.494,464.046,1.0,844.726,505.766,1.0,999.13,119.312,0.9929999709129333,1012.967,229.149,0.9629999995231628,1021.164,327.044,0.9990000128746033,254.985,32.302,0.9990000128746033,298.225,94.745,0.984000027179718,335.343,184.208,0.9950000047683716
3,840.616,455.351,1.0,850.794,486.878,1.0,1167.247,450.68,1.0,1152.762,503.83,1.0,831.819,431.406,1.0,834.31,463.887,1.0,845.757,505.901,1.0,999.285,119.165,0.9929999709129333,1013.191,229.53,0.9860000014305115,1021.083,327.044,0.9990000128746033,254.659,31.575,0.9980000257492065,298.167,94.635,0.984000027179718,335.343,184.221,0.9950000047683716
4,840.466,455.896,1.0,850.794,486.886,1.0,1168.181,449.358,1.0,1153.348,503.18,1.0,831.819,431.406,1.0,834.31,463.22,1.0,845.757,506.244,1.0,999.285,118.483,0.9909999966621399,1014.628,229.674,0.9710000157356262,1020.324,327.044,0.9990000128746033,253.378,31.413,0.996999979019165,298.152,94.561,0.9850000143051147,335.343,184.221,0.9950000047683716
5,822.707,455.896,1.0,853.598,488.612,1.0,1168.278,445.044,1.0,1152.762,503.18,1.0,829.212,431.61,1.0,834.274,463.022,1.0,845.026,506.366,1.0,999.285,118.274,0.9900000095367432,1014.628,234.287,0.9950000047683716,1020.141,327.044,1.0,253.378,31.413,0.9990000128746033,296.625,91.956,0.9819999933242798,335.89,184.243,0.9940000176429749
6,820.751,456.278,1.0,855.082,488.725,1.0,1169.239,444.658,1.0,1153.348,503.18,1.0,828.737,431.61,1.0,834.274,462.774,1.0,844.843,506.244,1.0,999.332,118.274,0.9829999804496765,1014.628,234.637,0.9819999933242798,1020.127,327.073,1.0,253.378,31.413,0.9990000128746033,296.495,91.956,0.9850000143051147,335.953,184.722,0.9950000047683716
