scorer,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000
individuals,ind1,ind1,ind1,ind1,ind1,ind1,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,,,0.996999979019165,,,0.9980000257492065,826.782,606.467,1.0,840.481,635.28,0.9549999833106995,858.995,665.562,0.9850000143051147,489.137,307.003,0.9800000190734863,548.137,421.582,0.9160000085830688,609.209,554.043,0.9879999756813049,493.005,42.561,0.9729999899864197,533.017,102.219,0.9860000014305115,561.308,188.058,0.996999979019165
1,955.85,336.55,0.9980000257492065,,387.55,0.9980000257492065,826.782,607.132,1.0,840.481,638.967,0.9980000257492065,860.484,666.144,1.0,489.137,307.101,0.9810000061988831,548.334,422.942,0.9789999723434448,610.07,554.153,0.9890000224113464,493.197,42.624,0.9779999852180481,533.725,102.948,0.9800000190734863,561.463,188.881,0.9980000257492065
2,955.85,336.55,,,387.55,,826.782,607.173,1.0,841.06,638.967,0.9980000257492065,860.484,666.144,1.0,489.19,307.101,0.9829999804496765,548.698,422.942,0.9940000176429749,610.07,554.153,0.9919999837875366,493.626,42.624,0.9869999885559082,534.166,103.008,0.9800000190734863,561.463,188.902,0.9980000257492065
3,964.931,348.002,1.0,957.112,387.914,1.0,826.755,607.173,1.0,841.06,638.967,0.9980000257492065,860.086,666.144,1.0,489.19,307.101,0.9829999804496765,550.131,422.028,0.9800000190734863,609.209,554.043,0.9929999709129333,493.511,42.561,0.9819999933242798,534.166,103.278,0.9800000190734863,561.463,188.904,0.9980000257492065
4,,,,,,,825.221,607.173,1.0,844.936,638.789,0.9980000257492065,860.484,666.019,1.0,489.558,306.119,0.9829999804496765,550.131,422.028,0.9860000014305115,607.428,553.352,0.9829999804496765,493.626,42.435,0.9890000224113464,534.273,103.278,0.984000027179718,561.443,189.978,0.9980000257492065
5,,,,,,,824.432,607.173,1.0,844.936,638.713,0.9990000128746033,860.571,665.866,1.0,489.675,305.893,0.9850000143051147,548.698,422.942,0.9929999709129333,607.047,552.437,0.9909999966621399,493.626,42.291,0.9890000224113464,534.273,104.703,0.9819999933242798,561.207,189.983,0.9980000257492065
6,,,,,,,821.221,606.017,1.0,844.936,635.307,0.9990000128746033,866.456,664.389,1.0,489.694,304.459,0.9879999756813049,547.9,426.424,0.9779999852180481,606.911,549.688,0.9940000176429749,493.782,41.69,0.9900000095367432,534.462,104.703,0.9879999756813049,560.951,191.183,0.996999979019165
7,,,,,,,821.221,606.017,1.0,844.864,635.307,0.9990000128746033,866.456,664.389,1.0,489.694,304.308,0.9879999756813049,547.9,426.424,0.9539999961853027,606.683,549.136,0.9879999756813049,493.782,41.658,0.9900000095367432,534.462,104.464,0.9879999756813049,560.877,191.245,0.996999979019165
8,,,,,,,821.221,606.017,1.0,844.611,635.307,0.9990000128746033,866.456,664.389,1.0,489.675,304.265,0.9879999756813049,547.9,426.424,0.9789999723434448,606.683,548.944,0.9940000176429749,493.782,41.643,0.9900000095367432,534.883,104.498,0.9860000014305115,560.864,191.31,0.996999979019165
