scorer,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000
individuals,ind1,ind1,ind1,ind1,ind1,ind1,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,794.649,336.483,0.847000002861023,801.774,386.039,0.9980000257492065,645.278,604.775,1.0,660.433,635.067,0.9959999918937683,678.084,666.818,0.9990000128746033,291.33,300.559,0.6179999709129333,358.53,421.495,0.7639999985694885,433.388,553.607,0.9850000143051147,259.221,38.081,0.9929999709129333,300.108,91.83,0.9599999785423279,342.671,190.27,0.9980000257492065
1,794.649,336.483,1.0,801.774,386.039,0.9990000128746033,645.75,604.82,1.0,662.247,637.421,1.0,679.125,668.668,1.0,291.551,300.559,0.9190000295639038,358.53,421.495,0.9879999756813049,434.815,553.708,0.9919999837875366,259.411,38.265,0.9950000047683716,301.076,98.151,0.9580000042915344,342.694,191.487,0.9990000128746033
2,794.649,336.483,0.996999979019165,801.774,386.039,0.9990000128746033,645.75,604.82,1.0,662.454,637.754,1.0,680.365,668.668,1.0,291.551,300.753,0.9480000138282776,359.815,425.756,0.9950000047683716,434.815,553.958,0.9909999966621399,259.616,38.265,0.9950000047683716,301.203,98.162,0.9580000042915344,342.694,191.582,0.9990000128746033
3,,,,,,,645.278,604.775,1.0,662.691,637.754,1.0,680.365,668.906,1.0,291.551,300.753,0.9539999961853027,359.815,422.832,0.9950000047683716,435.674,553.943,0.9909999966621399,259.616,38.081,0.9950000047683716,301.301,98.774,0.9639999866485596,342.671,191.775,0.9990000128746033
4,,,,,,,644.709,604.653,1.0,662.715,637.754,1.0,680.37,668.668,1.0,291.33,300.559,0.9819999933242798,359.815,421.495,0.9869999885559082,434.815,553.943,0.9860000014305115,259.645,38.081,0.9959999918937683,301.506,99.599,0.9819999933242798,340.925,192.493,0.9990000128746033
5,,,,,,,643.225,604.26,1.0,664.65,637.306,1.0,680.372,668.668,1.0,291.303,300.853,0.9829999804496765,358.092,422.832,0.9900000095367432,434.679,553.943,0.9900000095367432,259.745,37.952,0.9959999918937683,301.671,99.828,0.9810000061988831,340.727,192.721,0.9990000128746033
6,,,,,,,638.257,602.724,0.9990000128746033,667.053,633.179,0.9990000128746033,680.56,668.563,0.9990000128746033,289.467,300.945,0.9829999804496765,358.14,422.832,0.9810000061988831,434.676,549.365,0.9950000047683716,260.536,37.952,0.9950000047683716,301.876,100.408,0.9869999885559082,339.891,193.009,0.9990000128746033
7,,,,,,,638.257,602.724,0.9990000128746033,667.053,633.179,0.9990000128746033,680.56,668.563,0.9990000128746033,282.903,301.363,0.9879999756813049,358.14,422.832,0.9580000042915344,434.676,549.365,0.9959999918937683,260.536,38.202,0.9959999918937683,301.876,100.422,0.9860000014305115,339.891,193.196,0.9990000128746033
