scorer,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,tail,tail,tail,head,head,head,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,533.471,688.117,0.9919999837875366,584.955,665.297,0.9990000128746033,578.752,601.601,1.0,617.325,633.969,0.9990000128746033,596.538,392.071,0.6489999890327454,621.352,429.016,0.996999979019165,650.747,466.36,0.996999979019165,867.759,252.531,,868.351,362.378,0.8980000019073486,902.469,502.195,0.996999979019165,477.177,41.923,0.9829999804496765,522.375,106.453,0.9819999933242798,546.898,189.554,0.9990000128746033
1,533.48,688.412,0.9919999837875366,585.134,665.318,0.9990000128746033,579.319,602.139,1.0,617.373,634.201,0.9990000128746033,596.538,392.071,0.6470000147819519,621.373,429.016,0.996999979019165,651.046,466.687,0.9980000257492065,867.759,252.644,,869.305,362.378,0.8939999938011169,902.602,502.401,0.996999979019165,477.186,41.934,0.9819999933242798,522.58,106.483,0.9819999933242798,547.087,189.569,0.9990000128746033
2,533.496,688.412,0.9990000128746033,585.39,665.318,0.9990000128746033,579.319,602.833,1.0,617.378,634.216,0.9990000128746033,596.742,392.071,0.9990000128746033,622.023,429.331,0.9990000128746033,651.046,466.687,0.9990000128746033,867.918,252.644,0.4620000123977661,873.994,364.461,0.9810000061988831,902.602,502.401,0.9990000128746033,480.443,41.963,0.9900000095367432,522.58,106.483,0.984000027179718,547.087,189.982,0.9990000128746033
3,533.532,688.117,0.9990000128746033,585.393,665.318,0.9990000128746033,578.752,603.171,1.0,617.378,634.441,0.9990000128746033,597.39,391.917,0.9990000128746033,622.023,429.016,0.9990000128746033,650.747,466.687,0.9990000128746033,867.918,252.531,0.4909999966621399,874.299,364.04,0.9800000190734863,902.469,502.401,0.9990000128746033,480.443,41.963,0.9890000224113464,522.529,106.479,0.9860000014305115,546.898,190.171,0.9990000128746033
4,536.167,687.669,0.9980000257492065,585.622,664.831,0.9990000128746033,577.497,603.171,1.0,617.467,635.373,0.9990000128746033,597.884,391.656,0.9990000128746033,622.023,428.705,0.9990000128746033,649.075,466.376,0.9990000128746033,867.918,251.819,0.9480000138282776,875.566,364.04,0.9700000286102295,901.55,502.368,0.9990000128746033,480.443,41.963,0.9909999966621399,522.509,106.474,0.9850000143051147,546.856,190.529,0.9990000128746033
5,536.167,687.625,0.9980000257492065,585.622,664.831,0.9990000128746033,577.475,603.296,1.0,617.467,635.446,0.9990000128746033,597.956,391.656,0.9990000128746033,622.023,428.705,0.9990000128746033,649.03,466.376,0.9990000128746033,868.066,251.715,0.9430000185966492,875.589,364.411,0.9800000190734863,901.55,502.193,0.9990000128746033,480.394,41.963,0.9909999966621399,522.509,106.474,0.9850000143051147,546.786,190.548,0.9990000128746033
6,536.167,687.434,0.9980000257492065,585.622,664.831,0.9990000128746033,577.421,603.497,1.0,616.939,636.34,0.9990000128746033,598.325,391.656,0.9990000128746033,622.023,429.052,0.9990000128746033,648.993,466.376,0.9990000128746033,868.159,251.542,0.9390000104904175,875.715,364.411,0.9750000238418579,901.55,501.914,0.9990000128746033,480.394,41.963,0.9919999837875366,522.473,106.425,0.9850000143051147,546.744,190.569,0.9990000128746033
