scorer,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,tail,tail,tail,head,head,head,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,344.851,689.278,0.9800000190734863,399.188,664.389,0.9990000128746033,393.139,600.885,1.0,430.783,636.608,0.9990000128746033,421.429,390.257,0.9800000190734863,452.413,428.906,0.9940000176429749,481.519,466.424,0.9990000128746033,676.821,252.285,,689.43,361.985,,736.463,499.555,0.9950000047683716,243.003,38.622,0.9919999837875366,285.619,98.509,0.9639999866485596,328.671,190.152,0.9729999899864197
1,344.851,689.278,0.984000027179718,399.188,664.389,0.9990000128746033,393.139,601.386,1.0,430.839,636.654,0.9990000128746033,422.15,390.318,0.9860000014305115,452.455,429.025,0.9950000047683716,482.023,466.424,0.9990000128746033,676.821,252.423,,690.368,361.985,,736.463,499.555,0.9950000047683716,243.128,38.838,0.9919999837875366,285.659,98.715,0.9670000076293945,328.671,190.153,0.9729999899864197
2,344.851,689.278,0.996999979019165,399.188,664.818,0.9990000128746033,393.139,601.493,1.0,431.079,636.715,0.9990000128746033,424.029,390.474,1.0,452.455,429.425,0.9990000128746033,482.023,466.424,1.0,676.821,253.953,0.8790000081062317,694.963,363.0,0.9789999723434448,736.613,500.096,0.9980000257492065,244.009,39.217,0.9929999709129333,286.305,99.369,0.9800000190734863,328.671,191.28,0.9940000176429749
3,344.851,689.278,0.996999979019165,399.188,664.818,0.9990000128746033,393.082,601.493,1.0,431.215,636.872,0.9990000128746033,423.465,390.68,1.0,452.455,429.402,0.9980000257492065,482.006,466.268,1.0,676.554,253.953,0.8730000257492065,690.403,363.0,0.9850000143051147,736.613,500.096,0.996999979019165,244.741,41.838,0.9909999966621399,286.344,99.426,0.9800000190734863,328.665,191.28,0.9940000176429749
4,344.851,689.278,0.9980000257492065,399.188,664.774,0.9990000128746033,393.082,602.329,1.0,431.303,637.113,0.9990000128746033,423.465,390.68,1.0,452.455,429.025,0.9990000128746033,482.362,465.462,1.0,675.02,252.694,0.9779999852180481,690.403,363.0,0.9850000143051147,736.654,501.046,0.9990000128746033,245.621,41.91,0.9919999837875366,286.709,100.555,0.9819999933242798,327.947,191.28,0.996999979019165
5,344.669,689.27,0.996999979019165,399.182,664.818,0.9990000128746033,392.687,604.55,1.0,431.303,638.137,0.9990000128746033,424.029,390.318,1.0,452.455,429.025,0.9990000128746033,482.006,465.462,1.0,667.548,253.589,0.9660000205039978,690.549,363.375,0.9810000061988831,737.279,501.046,0.9980000257492065,245.621,41.91,0.9919999837875366,286.709,100.555,0.9819999933242798,327.926,191.28,0.996999979019165
6,342.005,688.613,0.996999979019165,398.45,665.34,0.9990000128746033,392.362,605.141,1.0,431.215,638.432,0.9990000128746033,426.822,389.367,1.0,452.42,429.215,0.9990000128746033,481.384,465.462,1.0,667.205,253.841,0.9710000157356262,694.963,363.556,0.9760000109672546,737.618,501.046,0.9990000128746033,245.621,41.838,0.9929999709129333,286.709,100.562,0.9819999933242798,327.909,191.28,0.996999979019165
