scorer,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,tail,tail,tail,head,head,head,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.995,180.564,,250.627,39.198,0.6299999952316284,286.897,95.06,0.9829999804496765,328.768,185.773,0.9129999876022339
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.279,180.705,,250.627,39.198,0.7080000042915344,286.915,95.06,0.9829999804496765,330.91,185.975,0.9110000133514404
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.294,180.705,0.13899999856948853,250.627,39.198,0.9819999933242798,287.178,95.06,0.9869999885559082,330.91,186.317,0.9490000009536743
3,,,,,,,,,,,,,1172.371,391.981,0.5170000195503235,,,,1210.639,668.483,0.39100000262260437,403.809,171.751,0.3540000021457672,,,,332.294,180.705,0.13699999451637268,247.012,38.455,0.9739999771118164,286.915,95.06,0.9829999804496765,330.91,186.352,0.9399999976158142
4,,,,,,,,,,,,,1172.371,391.981,0.5400000214576721,,,,1210.534,668.406,0.5230000019073486,403.771,171.737,0.3840000033378601,,,,332.279,180.705,0.13699999451637268,246.823,38.394,0.9710000157356262,286.897,95.06,0.9829999804496765,330.779,186.72,0.9079999923706055
5,,,,,,,,,,,,,1172.371,387.361,1.0,1174.4,429.85,1.0,1176.432,466.076,1.0,403.771,171.737,0.4429999887943268,,,,332.279,180.705,0.8100000023841858,246.823,38.394,0.9829999804496765,285.877,96.566,0.9810000061988831,330.779,187.405,0.9110000133514404
6,1236.34,626.942,0.9440000057220459,1229.575,661.196,0.9940000176429749,,,,,,,1172.839,388.756,1.0,1173.848,429.354,1.0,1176.132,465.61,1.0,403.771,171.751,0.9070000052452087,469.361,300.146,0.289000004529953,332.081,180.508,0.14499999582767487,246.877,38.455,0.9819999933242798,285.698,96.573,0.9789999723434448,327.11,187.447,0.8479999899864197
