scorer,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000
individuals,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,532.6539999999999,120.36800000000005,0.01,597.8299999999999,226.51200000000003,0.01,618.4309999999999,282.20700000000005,0.01,643.7562500000001,381.0664999999999,0.01,588.3320000000002,431.9009999999997,0.01
1,540.5999999999999,127.53900000000004,0.01,597.8299999999999,226.70100000000002,0.01,618.6469999999999,282.51500000000004,0.01,643.7715000000002,381.0664999999999,0.01,596.3330000000002,431.9009999999997,0.01
2,548.5459999999999,134.71000000000004,0.01,597.8299999999999,226.89000000000001,0.01,618.8629999999999,282.82300000000004,0.01,643.7867500000002,381.0664999999999,0.01,604.3340000000002,431.9009999999997,0.01
3,556.492,141.88100000000003,0.01,597.387,227.079,0.01,619.079,283.13100000000003,0.01,643.8020000000001,379.17599999999993,0.01,612.3350000000002,431.1969999999998,0.01
4,564.438,149.05200000000002,0.01,596.944,227.268,0.01,619.295,283.439,0.01,643.8172500000001,377.28549999999996,0.01,620.3360000000001,430.4929999999998,0.01
5,572.384,156.223,0.041999999433755875,596.501,227.457,0.4740000069141388,619.511,283.747,0.3109999895095825,643.8325000000001,375.395,0.01,628.3370000000001,429.7889999999999,0.01
6,575.879,163.394,0.4059999883174896,596.058,227.646,0.22599999606609344,619.727,284.055,0.023000000044703484,643.8477500000001,373.50449999999995,0.01,636.3380000000001,429.0849999999999,0.01
7,576.551,171.3,1.0,588.301,227.695,0.8989999890327454,619.727,300.115,0.36399999260902405,643.863,371.614,0.050999999046325684,644.339,428.381,0.14000000059604645
8,577.189,171.3,1.0,588.108,228.914,0.30000001192092896,620.071,300.115,0.05900000035762787,643.87825,369.7235,0.01,644.339,428.361,0.13300000131130219
9,577.189,171.362,1.0,588.108,232.526,0.9739999771118164,620.304,300.156,0.0560000017285347,643.8935,367.83299999999997,0.01,644.339,428.019,0.01
10,577.663,171.99,1.0,588.108,232.526,0.4090000092983246,620.902,300.156,0.027000000700354576,643.90875,365.9425,0.01,644.283,427.677,0.16099999845027924
11,580.863,171.99,1.0,594.831,233.12,0.9980000257492065,620.304,301.107,0.9990000128746033,643.90875,365.9425,0.08500000089406967,643.975,424.2275,0.0560000017285347
12,581.28,171.115,1.0,595.411,232.526,1.0,620.304,301.107,1.0,643.90875,365.9425,0.024000000208616257,643.9739999999999,424.2275,0.04600000008940697
13,581.28,171.99,1.0,595.684,232.526,0.9990000128746033,619.645,301.168,0.9440000057220459,643.924,364.24,0.01,643.9739999999999,424.2275,0.01
14,580.863,172.084,1.0,595.792,232.064,0.6129999756813049,619.645,301.168,0.02500000037252903,643.964,364.24,0.11100000143051147,643.975,424.2275,0.07599999755620956
15,580.782,172.084,1.0,596.05,229.848,0.9829999804496765,619.119,301.107,0.9459999799728394,643.964,364.298,0.0729999989271164,643.976,424.2275,0.8790000081062317
16,580.34,172.084,1.0,596.407,229.186,0.9990000128746033,618.692,300.862,0.45399999618530273,643.964,364.298,0.01,644.1215,420.275,0.027000000700354576
17,579.721,172.45,1.0,596.407,229.848,0.9980000257492065,619.119,301.168,0.6579999923706055,643.964,364.298,0.014000000432133675,644.1215,420.2485,0.01
18,578.97,172.45,1.0,596.05,229.848,0.9990000128746033,619.346,301.23,0.9570000171661377,643.9336666666667,366.7126666666667,0.01,644.1215,420.2485,0.11100000143051147
19,578.97,172.455,1.0,594.174,231.46,0.9980000257492065,619.346,300.862,0.6589999794960022,643.7433333333333,369.1273333333333,0.01,644.267,420.2485,0.04500000178813934
20,578.97,172.455,1.0,594.174,231.46,1.0,619.436,300.804,0.335999995470047,643.553,371.542,0.017000000923871994,652.455,425.589,0.9100000262260437
21,579.966,172.455,1.0,594.174,232.722,1.0,619.455,301.23,0.41499999165534973,641.0976666666667,371.73966666666666,0.01,652.67,425.749,0.9819999933242798
22,580.177,171.213,1.0,594.395,231.46,0.996999979019165,620.028,300.348,0.26499998569488525,641.0976666666667,371.73966666666666,0.01,652.67,425.749,0.8650000095367432
23,580.254,171.209,1.0,594.395,231.46,0.9980000257492065,620.065,292.621,0.6150000095367432,641.0976666666667,371.73966666666666,0.020999999716877937,652.698,425.82,0.8600000143051147
24,580.177,170.965,1.0,594.395,230.552,1.0,620.065,292.621,0.7839999794960022,638.6423333333333,364.113,0.0560000017285347,652.698,425.937,0.9160000085830688
25,580.177,170.965,1.0,590.708,230.552,1.0,627.58,300.369,0.5929999947547913,636.227,364.113,0.05000000074505806,652.626,426.077,0.8199999928474426
26,579.917,171.209,1.0,590.001,229.12,0.9620000123977661,627.689,300.369,0.1850000023841858,643.529,364.113,0.020999999716877937,652.626,426.124,0.9399999976158142
27,579.743,171.393,1.0,590.001,229.12,0.9980000257492065,627.689,300.952,0.19099999964237213,642.924,371.501,0.1459999978542328,652.626,426.148,0.9860000014305115
28,579.743,171.393,1.0,590.708,229.12,0.996999979019165,627.689,307.871,0.09000000357627869,642.924,371.505,0.032999999821186066,652.613,426.819,0.6200000047683716
29,579.743,171.393,1.0,594.284,230.26,0.9990000128746033,626.811,308.161,0.9990000128746033,643.23,371.534,0.32899999618530273,652.441,426.819,0.800000011920929
30,580.355,171.393,1.0,595.554,230.598,0.9950000047683716,621.49,308.269,0.9570000171661377,643.23,371.534,0.0560000017285347,651.537,426.819,0.7139999866485596
31,580.416,171.384,1.0,595.811,231.611,0.9990000128746033,620.9,307.871,0.8560000061988831,642.924,371.584,0.1340000033378601,651.537,426.342,0.01
32,580.929,171.34,1.0,596.863,231.611,1.0,619.887,307.871,0.9430000185966492,643.23,371.534,0.3370000123977661,651.537,425.022,0.8759999871253967
33,581.209,171.384,1.0,596.863,233.652,0.9990000128746033,619.499,308.269,0.8899999856948853,636.819,371.534,0.5080000162124634,651.537,422.902,0.40299999713897705
34,581.703,171.88,1.0,597.22,233.652,1.0,618.685,308.269,0.9269999861717224,636.747,364.18,0.03400000184774399,651.537,421.958,0.023000000044703484
35,581.785,171.55,1.0,596.863,233.938,1.0,618.685,307.723,0.9980000257492065,636.602,362.317,0.5619999766349792,651.231,421.958,0.9639999866485596
36,583.305,171.574,1.0,593.404,234.187,1.0,618.382,307.723,1.0,636.602,361.683,0.9710000157356262,650.703,422.536,0.9229999780654907
37,583.305,171.88,1.0,593.404,234.187,1.0,618.382,307.051,1.0,636.402,360.667,0.9639999866485596,650.703,422.536,0.9959999918937683
38,583.655,171.574,1.0,593.404,234.306,1.0,618.382,306.59,0.996999979019165,636.602,357.943,0.9940000176429749,651.231,422.296,0.9290000200271606
39,583.733,171.574,1.0,590.356,234.445,1.0,619.134,301.798,1.0,637.834,357.287,1.0,652.171,422.296,0.9890000224113464
40,583.547,171.815,1.0,590.356,234.306,1.0,619.134,299.805,1.0,637.834,356.907,1.0,652.171,421.041,1.0
41,583.547,171.815,1.0,594.078,232.337,1.0,619.386,299.537,1.0,636.157,356.182,0.996999979019165,652.171,421.038,0.9520000219345093
42,583.733,171.815,1.0,597.888,230.406,1.0,619.386,299.537,0.9959999918937683,635.668,356.182,0.9990000128746033,650.912,421.041,0.871999979019165
43,585.129,172.326,1.0,598.398,228.601,1.0,619.134,299.537,0.9959999918937683,635.557,357.287,0.9810000061988831,650.912,421.038,0.04600000008940697
44,585.129,171.815,1.0,599.886,227.683,1.0,618.326,307.752,1.0,628.561,362.834,0.9980000257492065,650.912,421.041,0.9440000057220459
45,587.838,171.646,0.9990000128746033,604.402,226.285,0.6949999928474426,618.326,307.851,0.9959999918937683,634.455,363.043,1.0,650.633,421.724,0.1589999943971634
46,587.838,171.198,1.0,604.402,226.285,1.0,618.203,307.851,1.0,634.455,363.043,1.0,650.633,422.18,0.7990000247955322
47,587.838,171.075,1.0,604.402,226.285,0.9990000128746033,618.326,307.851,0.984000027179718,634.455,362.834,0.9980000257492065,649.794,422.1,0.9990000128746033
48,581.128,171.075,1.0,603.759,227.538,1.0,618.961,306.606,1.0,634.455,361.587,1.0,649.794,422.1,1.0
49,581.128,170.974,0.9890000224113464,603.759,227.538,1.0,624.844,306.386,1.0,635.522,361.587,1.0,649.794,422.18,0.9929999709129333
50,581.128,170.974,1.0,603.189,228.644,0.9990000128746033,625.451,306.386,1.0,635.552,361.587,1.0,649.849,422.1,0.9990000128746033
51,581.128,170.974,1.0,603.759,227.538,1.0,626.499,306.16,1.0,635.552,361.587,1.0,650.095,421.853,0.9940000176429749
52,581.128,171.026,0.9990000128746033,604.009,227.232,1.0,626.499,305.87,1.0,635.552,361.587,1.0,650.455,421.795,0.9760000109672546
