scorer,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_50000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,tail,tail,tail,head,head,head,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,,,,,,,,,,,,,1180.453,388.305,0.8920000195503235,1178.559,437.808,,1176.831,473.242,,404.856,165.106,0.8659999966621399,,,,,,,247.063,39.384,0.996999979019165,290.691,101.541,0.9330000281333923,329.358,189.613,0.9929999709129333
1,,,,,,,,,,,,,1180.503,388.333,0.8949999809265137,1178.559,437.808,,1177.077,473.242,,404.92,167.155,0.8700000047683716,,,,,,,247.261,39.647,0.996999979019165,290.79,101.541,0.9340000152587891,329.417,189.613,0.9929999709129333
2,,,,,,,,,,,,,1180.503,393.12,1.0,1178.559,438.969,1.0,1177.077,476.256,1.0,405.136,167.155,0.9279999732971191,,,,,,,247.766,39.936,0.9990000128746033,291.374,101.541,0.9440000057220459,329.702,189.697,0.9950000047683716
3,,,,,,,,,,,,,1180.585,393.12,1.0,1178.559,437.808,1.0,1177.077,473.242,1.0,404.92,167.155,0.9649999737739563,,,,,,,248.698,39.936,0.9990000128746033,290.79,101.532,0.9330000281333923,329.417,189.613,0.9940000176429749
4,,,,,,,,,,,,,1181.919,393.278,1.0,1178.559,437.287,1.0,1177.077,471.698,1.0,404.92,167.155,0.9390000104904175,,,,,,,249.081,39.936,0.9990000128746033,290.749,100.927,0.9399999976158142,329.358,189.613,0.9940000176429749
5,1245.963,627.286,0.5519999861717224,1236.215,667.885,0.1940000057220459,,,,,,,1181.853,393.278,1.0,1178.6,433.105,0.996999979019165,1178.678,471.14,1.0,410.515,167.155,0.9369999766349792,,,,518.507,423.936,0.9879999756813049,249.081,40.106,0.9980000257492065,290.79,100.927,0.9309999942779541,328.904,189.743,0.9950000047683716
6,1245.837,627.28,0.9020000100135803,1236.09,667.724,0.25999999046325684,1203.997,587.961,0.9409999847412109,1188.17,642.029,0.8289999961853027,1181.853,393.278,1.0,1178.6,431.707,0.9950000047683716,1181.551,470.652,1.0,410.982,165.451,0.972000002861023,468.572,283.849,0.2809999883174896,517.228,422.848,0.9440000057220459,248.698,40.106,0.9980000257492065,290.954,100.477,0.9409999847412109,328.731,189.924,0.9929999709129333
