scorer,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000
individuals,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,364.47800000000007,188.99599999999995,0.01,362.2709999999998,228.27300000000005,0.01,443.55299999999994,284.0470000000001,0.01,511.69099999999986,302.9839999999999,0.01,12914.658666666666,-4237.067333333333,0.01
1,369.32000000000005,185.08099999999996,0.01,369.0529999999998,228.11000000000004,0.01,443.57399999999996,284.01900000000006,0.01,505.2719999999999,310.59899999999993,0.01,12559.965333333334,-4104.010666666667,0.01
2,374.16200000000003,181.16599999999997,0.01,375.83499999999987,227.94700000000003,0.01,443.59499999999997,283.99100000000004,0.01,498.8529999999999,318.21399999999994,0.01,12205.271999999999,-3970.954,0.01
3,379.004,177.25099999999998,0.01,382.6169999999999,227.78400000000002,0.01,443.616,283.963,0.13099999725818634,492.4339999999999,325.82899999999995,0.01,11850.578666666666,-3837.8973333333333,0.01
4,383.846,173.33599999999998,0.01,389.39899999999994,227.621,0.01,443.637,283.935,0.20000000298023224,486.01499999999993,333.44399999999996,0.01,11495.885333333334,-3704.840666666667,0.01
5,388.688,169.421,0.9990000128746033,396.181,227.458,0.2619999945163727,443.702,284.176,0.13699999451637268,479.59599999999995,341.05899999999997,0.01,11141.192,-3571.784,0.01
6,393.53,165.506,0.9900000095367432,402.963,227.295,0.8299999833106995,460.1,292.541,0.14900000393390656,473.17699999999996,348.674,0.01,10786.498666666666,-3438.7273333333333,0.01
7,395.165,170.229,0.9990000128746033,404.583,227.464,0.7210000157356262,444.587,298.341,0.9980000257492065,466.758,356.289,0.7210000157356262,10431.805333333334,-3305.670666666667,0.01
8,394.393,168.088,0.996999979019165,405.103,227.878,0.7360000014305115,444.2,309.953,0.9200000166893005,460.339,363.904,0.027000000700354576,10077.112,-3172.614,0.01
9,395.43,168.129,0.9980000257492065,404.87,235.316,0.8159999847412109,444.264,307.944,0.9990000128746033,467.525,371.341,0.035999998450279236,9722.418666666666,-3039.557333333333,0.01
10,394.551,167.721,0.9950000047683716,405.287,227.833,0.75,444.231,309.18,0.7390000224113464,460.049,364.149,0.01899999938905239,9367.725333333334,-2906.500666666667,0.01
11,396.402,168.02,1.0,404.199,228.754,0.953000009059906,453.087,307.595,0.8849999904632568,460.165,346.492,0.7450000047683716,9013.032,-2773.444,0.01
12,396.024,169.553,1.0,405.107,228.259,0.9710000157356262,452.6,315.264,0.9990000128746033,476.576,372.071,0.07400000095367432,8658.338666666667,-2640.387333333333,0.01
13,396.998,169.944,1.0,405.708,229.461,0.996999979019165,453.457,314.49,1.0,467.844,355.387,0.20100000500679016,8303.645333333334,-2507.3306666666667,0.01
14,394.861,169.748,1.0,404.451,228.303,0.9549999833106995,453.834,315.706,0.9980000257492065,476.46,372.117,0.05000000074505806,7948.951999999999,-2374.274,0.01
15,393.849,168.634,1.0,403.165,234.998,0.8999999761581421,451.823,305.942,1.0,467.451,355.816,0.17599999904632568,7594.258666666667,-2241.2173333333335,0.01
16,394.024,166.637,0.9980000257492065,403.562,228.086,0.6579999923706055,453.228,301.769,0.9729999899864197,461.373,356.965,0.22300000488758087,7239.565333333333,-2108.1606666666667,0.01
17,395.899,165.664,0.9990000128746033,403.542,235.954,0.4390000104904175,453.587,307.346,0.9990000128746033,467.095,355.555,0.31200000643730164,6884.871999999999,-1975.104,0.01
18,394.373,167.532,0.9990000128746033,404.504,227.754,0.3700000047683716,453.619,315.546,0.9490000009536743,467.548,363.841,0.08399999886751175,6530.178666666667,-1842.0473333333334,0.01
19,395.902,166.728,1.0,404.477,227.877,0.3880000114440918,452.633,307.378,0.9829999804496765,461.578,356.675,0.35899999737739563,6175.485333333333,-1708.9906666666666,0.01
20,396.224,167.033,1.0,404.396,228.037,0.39500001072883606,452.235,307.72,0.9300000071525574,460.43,356.136,0.10499999672174454,5820.7919999999995,-1575.934,0.01
21,396.796,166.336,0.9990000128746033,403.728,228.528,0.7670000195503235,451.951,308.078,0.7940000295639038,461.075,356.671,0.2540000081062317,5466.098666666667,-1442.8773333333334,0.01
22,396.559,167.172,0.9990000128746033,404.13,227.992,0.5109999775886536,453.736,315.324,0.9639999866485596,460.826,356.334,0.07900000363588333,5111.405333333333,-1309.8206666666665,0.01
23,396.676,167.611,1.0,403.847,228.56,0.8550000190734863,451.89,313.707,0.9980000257492065,467.632,363.957,0.1080000028014183,4756.7119999999995,-1176.764,0.01
24,396.53,167.895,1.0,404.372,228.415,0.8259999752044678,450.949,312.829,0.9990000128746033,467.362,355.405,0.22699999809265137,4402.018666666667,-1043.7073333333333,0.01
25,396.411,167.516,1.0,403.677,228.432,0.8309999704360962,450.641,307.836,0.9980000257492065,466.925,355.362,0.3190000057220459,4047.325333333333,-910.6506666666668,0.01
26,396.382,167.875,0.9990000128746033,403.368,228.604,0.7720000147819519,451.451,308.388,0.7049999833106995,467.734,364.15,0.057999998331069946,3692.6319999999996,-777.594,0.01
27,397.397,167.538,1.0,403.923,227.51,0.8169999718666077,451.402,307.507,0.8410000205039978,467.023,362.871,0.5410000085830688,3337.938666666667,-644.5373333333333,0.01
28,389.419,169.721,1.0,403.914,227.668,0.6830000281333923,453.007,315.453,0.7440000176429749,468.214,373.134,0.9430000185966492,2983.2453333333333,-511.4806666666667,0.01
29,390.764,169.496,1.0,403.721,228.518,0.9789999723434448,452.462,315.926,0.32600000500679016,475.831,375.156,0.9179999828338623,2628.5519999999997,-378.42400000000004,0.01
30,395.747,170.788,1.0,403.714,229.403,0.9990000128746033,451.191,307.336,0.8220000267028809,469.217,372.099,1.0,2273.8586666666665,-245.36733333333333,0.01
31,398.187,170.687,1.0,404.47,228.484,0.9890000224113464,451.422,307.09,0.9950000047683716,469.379,372.369,1.0,1919.1653333333334,-112.31066666666668,0.01
32,397.41,171.08,1.0,403.611,230.664,1.0,449.8,306.744,1.0,468.412,363.28,0.9620000123977661,1564.472,20.746,0.257999986410141
33,396.697,171.585,1.0,403.315,227.937,0.9470000267028809,452.138,307.495,0.9909999966621399,468.753,371.05,0.9940000176429749,1209.7786666666666,153.80266666666668,0.01
34,396.362,167.801,1.0,402.851,228.095,0.9520000219345093,452.424,308.461,0.9150000214576721,461.807,358.733,0.8999999761581421,855.0853333333333,286.8593333333333,0.01
35,398.609,171.168,1.0,403.317,227.788,0.9769999980926514,457.344,311.064,0.9990000128746033,467.114,361.79,0.9049999713897705,500.39200000000005,419.916,0.2939999997615814
36,396.118,172.089,1.0,402.61,227.618,0.9980000257492065,452.206,308.502,0.9459999799728394,467.463,363.356,0.949999988079071,502.491,422.641,1.0
37,395.828,167.197,1.0,402.582,229.327,0.9980000257492065,442.271,306.166,1.0,467.703,363.239,0.4359999895095825,506.013,421.486,0.9990000128746033
38,395.915,165.33,0.9990000128746033,403.102,230.476,1.0,441.03,298.682,1.0,462.867,354.528,0.9990000128746033,500.942,422.847,0.996999979019165
39,399.11,168.006,1.0,403.741,227.553,0.9900000095367432,443.913,298.198,0.9549999833106995,466.542,355.161,0.9959999918937683,507.824,422.284,1.0
40,400.381,169.203,1.0,412.479,222.39,0.9750000238418579,443.049,293.814,0.9639999866485596,467.524,354.507,0.9819999933242798,506.075,422.639,0.9990000128746033
41,398.87,169.302,1.0,418.703,221.189,0.9990000128746033,451.712,291.539,0.9940000176429749,465.142,350.635,0.9990000128746033,496.906,423.718,1.0
42,401.352,168.255,1.0,427.664,220.929,0.5130000114440918,468.338,300.01,0.6399999856948853,460.276,361.748,0.26899999380111694,502.688,417.543,0.01
43,396.662,167.18,1.0,420.537,220.581,0.16500000655651093,443.303,309.601,0.9990000128746033,461.746,358.423,0.9990000128746033,508.47,411.368,0.029999999329447746
44,398.934,169.304,1.0,413.723,226.93,0.8579999804496765,454.582,306.802,1.0,467.724,362.858,0.29899999499320984,516.187,412.048,0.08100000023841858
45,398.119,170.967,1.0,411.019,224.568,0.9990000128746033,458.727,298.434,0.9980000257492065,468.354,362.948,0.1379999965429306,496.385,416.4115,0.01
46,397.251,169.729,1.0,412.338,225.048,0.9909999966621399,453.566,305.56,1.0,467.464,364.193,0.9020000100135803,476.583,420.775,0.5210000276565552
47,396.99,170.003,1.0,412.988,226.621,0.531000018119812,453.3,298.61,1.0,460.028,361.884,0.7310000061988831,483.925,412.067,0.052000001072883606
48,398.232,167.852,1.0,420.76,221.222,0.8519999980926514,444.783,299.83,1.0,461.132,356.369,1.0,476.225,411.652,0.035999998450279236
49,399.251,169.578,1.0,427.389,220.839,0.8949999809265137,450.12,299.443,1.0,461.25,352.138,1.0,484.403,412.061,0.05000000074505806
