scorer,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000
individuals,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,364.47800000000007,181.16599999999997,0.01,362.2709999999998,227.94700000000003,0.01,443.55299999999994,283.99100000000004,0.01,498.8529999999999,302.9839999999999,0.01,12205.271999999999,-3970.954,0.01
1,369.32000000000005,181.16599999999997,0.01,369.0529999999998,227.94700000000003,0.01,443.57399999999996,283.99100000000004,0.01,498.8529999999999,310.59899999999993,0.01,12205.271999999999,-3970.954,0.01
2,374.16200000000003,181.16599999999997,0.01,375.83499999999987,227.94700000000003,0.01,443.59499999999997,283.99100000000004,0.01,498.8529999999999,318.21399999999994,0.01,12205.271999999999,-3970.954,0.01
3,379.004,177.25099999999998,0.01,382.6169999999999,227.78400000000002,0.01,443.616,283.99100000000004,0.13099999725818634,492.4339999999999,325.82899999999995,0.01,11850.578666666666,-3837.8973333333333,0.01
4,383.846,173.33599999999998,0.01,389.39899999999994,227.621,0.01,443.637,283.99100000000004,0.20000000298023224,486.01499999999993,333.44399999999996,0.01,11495.885333333334,-3704.840666666667,0.01
5,388.688,170.229,0.9990000128746033,396.181,227.464,0.2619999945163727,443.702,284.176,0.13699999451637268,479.59599999999995,341.05899999999997,0.01,11141.192,-3571.784,0.01
6,393.53,169.421,0.9900000095367432,402.963,227.464,0.8299999833106995,444.2,292.541,0.14900000393390656,473.17699999999996,348.674,0.01,10786.498666666666,-3438.7273333333333,0.01
7,394.393,168.129,0.9990000128746033,404.583,227.464,0.7210000157356262,444.264,298.341,0.9980000257492065,467.525,356.289,0.7210000157356262,10431.805333333334,-3305.670666666667,0.01
8,394.551,168.088,0.996999979019165,404.87,227.833,0.7360000014305115,444.264,307.944,0.9200000166893005,466.758,363.904,0.027000000700354576,10077.112,-3172.614,0.01
9,395.165,168.088,0.9980000257492065,404.87,227.878,0.8159999847412109,444.264,307.944,0.9990000128746033,460.339,363.904,0.035999998450279236,9722.418666666666,-3039.557333333333,0.01
10,395.43,168.088,0.9950000047683716,405.103,228.259,0.75,444.264,309.18,0.7390000224113464,460.339,364.149,0.01899999938905239,9367.725333333334,-2906.500666666667,0.01
11,396.024,168.129,1.0,405.107,228.754,0.953000009059906,452.6,309.18,0.8849999904632568,467.525,364.149,0.7450000047683716,9013.032,-2773.444,0.01
12,396.024,169.553,1.0,405.107,228.303,0.9710000157356262,453.087,314.49,0.9990000128746033,467.844,364.149,0.07400000095367432,8658.338666666667,-2640.387333333333,0.01
13,396.024,169.553,1.0,404.451,228.754,0.996999979019165,453.087,314.49,1.0,467.844,355.816,0.20100000500679016,8303.645333333334,-2507.3306666666667,0.01
14,394.861,169.553,1.0,404.451,228.303,0.9549999833106995,453.228,314.49,0.9980000257492065,467.844,356.965,0.05000000074505806,7948.951999999999,-2374.274,0.01
15,394.861,168.634,1.0,403.562,229.461,0.8999999761581421,453.457,307.346,1.0,467.451,355.816,0.17599999904632568,7594.258666666667,-2241.2173333333335,0.01
16,394.373,167.532,0.9980000257492065,403.562,228.303,0.6579999923706055,453.587,307.346,0.9729999899864197,467.451,356.965,0.22300000488758087,7239.565333333333,-2108.1606666666667,0.01
17,394.373,166.728,0.9990000128746033,403.562,228.086,0.4390000104904175,453.228,307.346,0.9990000128746033,467.095,356.675,0.31200000643730164,6884.871999999999,-1975.104,0.01
18,395.899,166.728,0.9990000128746033,404.396,228.037,0.3700000047683716,453.228,307.378,0.9490000009536743,461.578,356.675,0.08399999886751175,6530.178666666667,-1842.0473333333334,0.01
19,395.902,166.728,1.0,404.396,228.037,0.3880000114440918,452.633,307.72,0.9829999804496765,461.578,356.671,0.35899999737739563,6175.485333333333,-1708.9906666666666,0.01
20,396.224,167.033,1.0,404.396,227.992,0.39500001072883606,452.633,308.078,0.9300000071525574,461.075,356.671,0.10499999672174454,5820.7919999999995,-1575.934,0.01
21,396.559,167.033,0.9990000128746033,404.13,228.037,0.7670000195503235,452.235,308.078,0.7940000295639038,461.075,356.671,0.2540000081062317,5466.098666666667,-1442.8773333333334,0.01
22,396.559,167.172,0.9990000128746033,404.13,228.415,0.5109999775886536,451.951,312.829,0.9639999866485596,461.075,356.334,0.07900000363588333,5111.405333333333,-1309.8206666666665,0.01
23,396.559,167.516,1.0,403.847,228.432,0.8550000190734863,451.89,312.829,0.9980000257492065,466.925,356.334,0.1080000028014183,4756.7119999999995,-1176.764,0.01
24,396.53,167.611,1.0,403.847,228.432,0.8259999752044678,451.451,312.829,0.9990000128746033,467.362,356.334,0.22699999809265137,4402.018666666667,-1043.7073333333333,0.01
25,396.53,167.611,1.0,403.847,228.432,0.8309999704360962,451.402,308.388,0.9980000257492065,467.362,362.871,0.3190000057220459,4047.325333333333,-910.6506666666668,0.01
26,396.411,167.875,0.9990000128746033,403.914,228.415,0.7720000147819519,451.402,308.388,0.7049999833106995,467.362,362.871,0.057999998331069946,3692.6319999999996,-777.594,0.01
27,396.382,167.875,1.0,403.721,228.432,0.8169999718666077,451.451,308.388,0.8410000205039978,467.734,364.15,0.5410000085830688,3337.938666666667,-644.5373333333333,0.01
28,395.747,169.496,1.0,403.721,228.518,0.6830000281333923,451.451,308.388,0.7440000176429749,468.214,372.099,0.9430000185966492,2983.2453333333333,-511.4806666666667,0.01
29,395.747,169.721,1.0,403.914,228.484,0.9789999723434448,451.422,307.507,0.32600000500679016,469.217,372.369,0.9179999828338623,2628.5519999999997,-378.42400000000004,0.01
30,395.747,170.687,1.0,403.721,228.518,0.9990000128746033,451.422,307.336,0.8220000267028809,469.217,372.369,1.0,2273.8586666666665,-245.36733333333333,0.01
31,396.697,170.788,1.0,403.714,228.518,0.9890000224113464,451.422,307.336,0.9950000047683716,469.217,372.099,1.0,1919.1653333333334,-112.31066666666668,0.01
32,396.697,170.788,1.0,403.611,228.484,1.0,451.422,307.336,1.0,468.753,371.05,0.9620000123977661,1564.472,20.746,0.257999986410141
33,397.41,171.08,1.0,403.317,228.095,0.9470000267028809,452.138,307.495,0.9909999966621399,468.412,363.28,0.9940000176429749,1209.7786666666666,153.80266666666668,0.01
34,396.697,171.168,1.0,403.315,227.937,0.9520000219345093,452.206,308.461,0.9150000214576721,467.463,363.28,0.8999999761581421,855.0853333333333,286.8593333333333,0.01
35,396.362,171.168,1.0,402.851,227.937,0.9769999980926514,452.206,308.461,0.9990000128746033,467.463,363.239,0.9049999713897705,506.013,419.916,0.2939999997615814
36,396.118,167.801,1.0,402.851,228.095,0.9980000257492065,452.206,308.461,0.9459999799728394,467.114,361.79,0.949999988079071,502.491,421.486,1.0
37,396.118,168.006,1.0,403.102,227.788,0.9980000257492065,443.913,306.166,1.0,467.114,361.79,0.4359999895095825,502.491,422.284,0.9990000128746033
38,396.118,168.006,0.9990000128746033,403.102,227.618,1.0,443.049,298.682,1.0,467.463,355.161,0.9990000128746033,506.013,422.639,0.996999979019165
39,398.87,168.006,1.0,403.741,227.553,0.9900000095367432,443.049,298.198,0.9549999833106995,466.542,354.528,0.9959999918937683,506.013,422.639,1.0
40,399.11,168.255,1.0,412.479,222.39,0.9750000238418579,443.913,298.198,0.9639999866485596,465.142,354.528,0.9819999933242798,502.688,422.639,0.9990000128746033
41,399.11,168.255,1.0,418.703,221.189,0.9990000128746033,443.913,298.198,0.9940000176429749,465.142,355.161,0.9990000128746033,506.075,422.284,1.0
42,398.934,169.203,1.0,418.703,221.189,0.5130000114440918,451.712,300.01,0.6399999856948853,465.142,358.423,0.26899999380111694,506.075,417.543,0.01
43,398.87,169.302,1.0,418.703,221.189,0.16500000655651093,454.582,300.01,0.9990000128746033,465.142,361.748,0.9990000128746033,502.688,416.4115,0.029999999329447746
44,398.119,169.304,1.0,413.723,224.568,0.8579999804496765,454.582,305.56,1.0,467.464,362.858,0.29899999499320984,502.688,416.4115,0.08100000023841858
45,397.251,169.729,1.0,412.988,225.048,0.9990000128746033,453.566,305.56,0.9980000257492065,467.464,362.858,0.1379999965429306,496.385,412.067,0.01
46,398.119,169.729,1.0,412.988,225.048,0.9909999966621399,453.566,299.83,1.0,467.464,362.858,0.9020000100135803,483.925,412.067,0.5210000276565552
47,398.119,169.729,1.0,412.988,224.568,0.531000018119812,453.3,299.443,1.0,461.25,361.884,0.7310000061988831,483.925,412.067,0.052000001072883606
48,398.232,169.578,1.0,412.988,225.048,0.8519999980926514,450.12,299.443,1.0,461.132,356.369,1.0,483.925,412.067,0.035999998450279236
49,398.814,169.12,1.0,412.988,226.621,0.8949999809265137,450.12,298.773,1.0,461.132,354.57,1.0,483.925,412.067,0.05000000074505806
