scorer,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000
individuals,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,middle,middle,middle,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,,,,,,,,,,845.626,281.186,1.0,861.953,328.299,1.0,879.154,385.782,0.9940000176429749,534.045,297.666,0.9070000052452087,,,,644.518,556.565,0.9860000014305115,501.082,54.667,0.9990000128746033,540.63,118.543,0.9980000257492065,565.901,200.843,1.0
1,,,,,,,,,,845.852,281.186,1.0,862.112,328.584,1.0,879.154,386.269,0.9940000176429749,537.474,297.812,0.9319999814033508,,,,644.518,556.565,0.9919999837875366,501.082,54.984,0.9990000128746033,540.637,119.083,0.9980000257492065,566.023,200.931,1.0
2,,,,,,,,,,845.888,281.186,1.0,862.196,328.883,1.0,879.154,386.509,0.9950000047683716,537.474,298.489,0.8330000042915344,,,,644.518,556.588,0.9940000176429749,501.082,55.008,0.9990000128746033,540.691,119.665,0.9980000257492065,566.027,201.016,1.0
3,1468.634,738.615,0.996999979019165,1467.382,683.344,1.0,1455.724,637.986,1.0,845.888,281.186,1.0,862.428,329.866,1.0,879.137,388.992,1.0,537.474,300.307,0.9990000128746033,595.546,429.012,0.13099999725818634,644.157,556.58,0.9990000128746033,500.918,55.594,0.9990000128746033,542.083,121.91,0.996999979019165,566.163,200.987,1.0
4,1468.598,738.606,0.996999979019165,1467.334,683.244,1.0,1455.724,637.949,1.0,845.852,281.239,1.0,862.428,329.978,1.0,879.09,389.323,1.0,537.474,300.321,0.9990000128746033,596.864,428.811,0.20600000023841858,644.157,556.565,0.9990000128746033,500.918,55.594,0.9990000128746033,542.106,121.91,0.996999979019165,566.181,200.931,1.0
5,1468.358,738.57,1.0,1467.306,683.239,1.0,1455.724,637.926,1.0,845.852,281.239,1.0,862.428,330.072,1.0,879.012,389.347,1.0,537.412,300.496,0.9990000128746033,595.546,429.012,,644.119,556.58,0.9990000128746033,500.918,55.726,0.9990000128746033,542.127,121.936,0.996999979019165,566.181,200.931,1.0
6,1467.913,735.958,1.0,1465.378,682.496,1.0,1455.636,637.926,1.0,846.043,281.607,1.0,862.428,332.152,1.0,876.88,390.077,1.0,535.515,306.641,1.0,600.955,433.854,0.9990000128746033,643.915,556.588,0.9990000128746033,501.873,55.594,0.9990000128746033,543.27,121.91,0.9980000257492065,566.221,200.429,1.0
