scorer,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000
individuals,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,middle,middle,middle,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1284.132,715.7,0.40799999237060547,1271.608,683.1,1.0,1271.859,634.51,1.0,683.944,278.434,0.9990000128746033,702.136,328.051,1.0,719.137,387.498,0.9290000200271606,340.721,298.27,0.9909999966621399,,,0.6110000014305115,468.945,557.121,0.9459999799728394,263.98,53.269,0.9990000128746033,312.14,112.552,0.9929999709129333,342.645,200.033,0.996999979019165
1,1284.132,715.757,0.21400000154972076,1271.608,683.1,1.0,1271.859,635.126,1.0,683.944,281.372,0.9980000257492065,702.136,328.062,1.0,719.137,387.672,0.9269999861717224,340.721,298.634,0.9580000042915344,,,,470.482,557.121,0.9980000257492065,264.084,53.269,0.9990000128746033,312.23,112.757,0.9950000047683716,342.782,200.033,0.996999979019165
2,1284.132,716.018,0.2770000100135803,1271.608,683.1,1.0,1271.859,637.316,1.0,683.944,281.444,0.9990000128746033,702.136,328.782,1.0,719.189,387.931,0.9789999723434448,340.721,298.723,0.953000009059906,,,,470.889,557.121,0.9990000128746033,264.228,53.269,0.9990000128746033,312.23,112.757,0.9950000047683716,343.072,200.033,0.9940000176429749
3,1275.964,737.627,0.9990000128746033,1270.242,683.258,1.0,1271.148,637.803,1.0,681.729,281.743,1.0,700.574,328.881,1.0,719.542,389.146,1.0,339.835,301.508,0.9980000257492065,405.157,428.349,0.4950000047683716,470.889,556.869,0.9990000128746033,264.367,51.927,1.0,312.367,112.792,0.996999979019165,344.314,199.953,0.9990000128746033
4,1275.964,737.627,0.9990000128746033,1270.242,678.701,1.0,1271.03,637.803,1.0,680.975,281.776,1.0,700.445,329.027,1.0,719.542,389.591,0.9990000128746033,339.835,301.585,0.9980000257492065,405.157,427.36,0.7570000290870667,471.063,556.331,0.9990000128746033,264.537,51.81,1.0,312.23,112.903,0.996999979019165,344.442,199.851,0.9990000128746033
5,1275.964,737.627,0.9990000128746033,1269.982,678.701,1.0,1270.666,637.316,1.0,680.616,281.867,1.0,700.445,329.34,1.0,719.468,389.766,0.9990000128746033,339.835,301.606,0.9980000257492065,404.97,427.36,0.9259999990463257,471.063,556.313,0.9990000128746033,264.537,51.773,0.9990000128746033,311.873,112.903,0.9959999918937683,344.465,199.825,0.9990000128746033
6,1277.144,735.821,1.0,1269.982,678.815,1.0,1270.451,634.456,1.0,680.616,282.589,1.0,700.574,330.89,1.0,719.779,389.81,1.0,341.415,301.922,0.9980000257492065,404.97,427.18,0.996999979019165,471.063,555.846,0.9990000128746033,264.53,51.773,1.0,311.873,113.42,0.9990000128746033,344.586,199.752,1.0
