scorer,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000
individuals,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,middle,middle,middle,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1459.571,714.243,0.8159999847412109,1453.912,675.873,1.0,1445.317,628.542,1.0,1694.15,625.311,1.0,1661.538,675.358,1.0,1643.647,716.1,1.0,1747.922,132.939,0.9390000104904175,1701.027,262.266,,1642.36,389.48,0.9670000076293945,854.558,73.129,0.996999979019165,888.955,139.222,0.996999979019165,900.301,218.739,1.0
1,1459.639,714.354,0.8159999847412109,1453.912,676.224,1.0,1445.317,628.762,1.0,1694.43,625.33,1.0,1661.825,675.644,1.0,1643.822,716.473,0.9990000128746033,1748.294,133.207,0.9779999852180481,1701.027,262.484,0.9350000023841858,1642.527,389.997,0.9829999804496765,854.558,73.203,0.996999979019165,888.955,139.744,0.9980000257492065,900.365,219.074,1.0
2,1459.639,714.354,0.8429999947547913,1454.052,676.224,1.0,1449.075,629.302,1.0,1694.43,625.33,1.0,1661.825,675.902,1.0,1643.822,716.475,1.0,1749.686,133.334,0.9380000233650208,1701.508,262.484,0.9259999990463257,1642.692,389.997,0.9929999709129333,854.558,73.359,0.9980000257492065,888.955,140.07,0.9980000257492065,900.4,219.421,1.0
3,1459.639,714.392,0.8220000267028809,1454.052,676.224,1.0,1448.947,629.302,1.0,1694.408,625.33,1.0,1661.825,675.884,1.0,1643.691,716.548,1.0,1749.686,133.357,0.9649999737739563,1701.027,262.484,0.9869999885559082,1642.692,390.115,0.9879999756813049,854.358,73.383,0.9980000257492065,888.923,140.07,0.9980000257492065,900.4,219.482,1.0
4,1459.639,714.428,0.6980000138282776,1454.165,676.562,1.0,1448.755,629.299,1.0,1694.408,625.33,1.0,1661.993,675.868,1.0,1643.691,716.63,1.0,1748.294,133.807,0.9769999980926514,1699.882,263.841,0.7440000176429749,1642.988,390.115,0.9940000176429749,854.321,73.514,0.9980000257492065,888.7,140.07,0.9980000257492065,900.4,219.575,1.0
5,1461.158,731.608,1.0,1455.415,676.86,1.0,1448.87,629.302,1.0,1694.34,625.559,1.0,1663.175,675.868,1.0,1643.198,717.814,1.0,1747.262,135.053,0.9959999918937683,1698.944,264.325,0.9990000128746033,1645.063,390.295,0.9990000128746033,854.072,73.922,0.9990000128746033,888.344,140.045,0.9990000128746033,900.024,220.173,1.0
6,1461.171,731.608,1.0,1455.415,676.944,1.0,1448.87,629.34,1.0,1694.339,625.583,1.0,1663.198,675.868,1.0,1643.193,717.82,1.0,1746.988,135.053,0.9959999918937683,1698.423,264.325,0.9990000128746033,1645.063,390.501,0.9980000257492065,853.886,73.941,0.9990000128746033,888.344,140.011,0.9990000128746033,900.024,220.184,1.0
