scorer,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000
individuals,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,middle,middle,middle,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1268.359,714.656,0.7319999933242798,1270.338,674.193,1.0,1261.911,628.766,1.0,1486.338,624.352,1.0,1469.567,675.41,1.0,1451.831,715.386,0.9980000257492065,1541.232,123.901,0.9259999990463257,1523.28,263.228,0.9950000047683716,1482.474,389.899,0.9919999837875366,602.785,72.926,0.9990000128746033,643.731,135.364,0.9990000128746033,665.386,220.346,0.9990000128746033
1,1268.6,714.676,0.7850000262260437,1270.822,674.203,1.0,1262.875,628.766,1.0,1486.464,624.616,1.0,1469.887,675.41,1.0,1451.975,715.933,0.9990000128746033,1541.4,124.081,0.9449999928474426,1523.28,263.228,0.9990000128746033,1482.474,389.947,0.9980000257492065,602.881,73.106,0.9990000128746033,643.797,135.45,0.9990000128746033,665.413,220.431,0.9990000128746033
2,1268.6,714.676,0.7960000038146973,1271.241,674.716,1.0,1263.921,628.766,1.0,1486.626,624.833,1.0,1470.302,675.714,1.0,1452.12,715.933,0.9990000128746033,1542.216,124.081,0.6990000009536743,1523.28,263.228,0.9990000128746033,1482.474,390.02,0.9589999914169312,603.04,73.14,0.9990000128746033,643.868,135.45,0.9990000128746033,665.413,220.473,0.9990000128746033
3,1268.661,714.718,0.7360000014305115,1270.822,674.716,1.0,1265.21,628.588,1.0,1486.635,624.833,1.0,1470.628,675.714,1.0,1451.975,716.168,0.9990000128746033,1542.216,124.081,0.8199999928474426,1522.04,262.657,0.9990000128746033,1482.474,390.086,0.9909999966621399,603.27,73.106,0.9990000128746033,643.916,135.364,0.9990000128746033,665.544,220.65,0.9990000128746033
4,1268.696,714.768,0.41499999165534973,1270.822,675.148,1.0,1265.312,628.084,1.0,1486.807,625.538,1.0,1470.885,675.922,1.0,1451.975,716.292,0.9990000128746033,1546.337,124.081,0.20499999821186066,1521.559,261.428,0.9980000257492065,1482.474,390.165,0.9800000190734863,603.302,72.926,0.9990000128746033,644.022,135.241,0.9990000128746033,665.544,220.771,0.9980000257492065
5,1270.256,730.581,1.0,1268.912,675.95,1.0,1265.129,627.99,1.0,1486.836,625.56,1.0,1473.591,677.117,1.0,1450.221,716.89,1.0,1546.337,133.245,0.953000009059906,1520.556,261.257,0.996999979019165,1483.09,391.1,0.9980000257492065,604.107,72.523,0.9990000128746033,644.327,135.232,0.9990000128746033,665.871,221.014,0.9990000128746033
6,1270.256,730.593,1.0,1268.911,675.954,1.0,1265.129,627.884,1.0,1486.836,625.756,1.0,1473.634,677.117,1.0,1450.221,716.936,1.0,1547.25,133.393,0.9729999899864197,1520.127,261.167,0.9990000128746033,1483.302,391.513,0.9990000128746033,604.107,72.523,0.9990000128746033,644.404,135.232,0.9990000128746033,665.954,221.014,0.9990000128746033
