scorer,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000
individuals,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,middle,middle,middle,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,893.338,417.955,0.968999981880188,898.457,384.606,0.9980000257492065,900.152,355.761,1.0,1474.34,616.024,1.0,1452.699,665.109,1.0,1433.935,705.739,1.0,534.523,299.307,0.9610000252723694,,,,644.834,556.958,0.9509999752044678,499.279,53.97,0.9990000128746033,541.964,120.902,0.9959999918937683,565.209,199.602,1.0
1,893.455,417.999,0.9670000076293945,898.457,384.606,0.996999979019165,900.153,355.809,1.0,1474.429,616.124,1.0,1452.761,665.142,1.0,1433.983,705.929,1.0,534.702,299.318,0.9580000042915344,,,,649.782,557.239,0.7279999852180481,499.295,54.028,0.9990000128746033,541.964,120.947,0.9959999918937683,565.306,199.763,1.0
2,893.773,418.291,0.9890000224113464,898.525,384.606,1.0,902.264,355.864,1.0,1474.429,617.873,1.0,1453.747,665.169,1.0,1433.983,705.929,1.0,535.827,299.79,0.9919999837875366,,,,650.38,557.239,0.9990000128746033,499.631,54.215,0.9990000128746033,541.99,121.515,0.996999979019165,565.372,199.763,1.0
3,893.788,418.319,0.9900000095367432,898.525,384.606,1.0,902.283,355.809,1.0,1474.34,618.053,1.0,1453.867,665.142,1.0,1433.983,705.851,1.0,536.008,299.938,0.9929999709129333,596.43,437.537,0.8809999823570251,650.38,557.239,0.9990000128746033,499.631,54.244,1.0,542.091,121.743,0.9959999918937683,565.372,199.763,1.0
4,893.795,418.353,0.9909999966621399,898.525,384.606,1.0,902.319,355.761,1.0,1473.898,618.058,1.0,1454.199,665.142,1.0,1433.983,705.739,1.0,536.056,299.98,0.9940000176429749,596.285,436.637,0.593999981880188,650.432,557.111,0.9990000128746033,499.631,54.273,1.0,542.091,121.974,0.9959999918937683,565.377,199.763,1.0
5,893.795,422.202,1.0,898.525,384.571,1.0,904.083,355.809,1.0,1473.898,619.317,1.0,1454.338,664.756,1.0,1434.277,705.42,1.0,536.056,305.754,0.9980000257492065,596.181,434.759,0.9909999966621399,650.432,557.111,0.9980000257492065,499.79,54.244,1.0,542.091,121.743,0.996999979019165,565.841,200.33,1.0
6,893.773,422.202,1.0,898.525,384.71,1.0,904.122,355.864,1.0,1473.659,619.317,1.0,1454.338,664.252,1.0,1434.355,704.444,1.0,536.332,305.769,0.9990000128746033,596.181,434.759,0.9919999837875366,650.313,556.736,0.9980000257492065,499.86,54.215,1.0,542.212,121.743,0.996999979019165,566.107,200.452,1.0
