scorer,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000,DLC_resnet50_make_tea_multiNov11shuffle1_100000
individuals,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,middle,middle,middle,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,735.299,409.299,0.996999979019165,741.705,384.675,0.9850000143051147,740.337,356.522,0.9359999895095825,1264.943,615.173,1.0,1257.823,660.716,1.0,1244.338,705.607,1.0,342.409,299.252,0.996999979019165,,,0.7509999871253967,469.872,557.514,0.9959999918937683,262.699,53.652,1.0,310.258,112.216,0.9959999918937683,343.564,199.008,0.9990000128746033
1,735.321,409.343,0.996999979019165,741.884,384.717,0.984000027179718,749.269,357.296,0.8209999799728394,1264.943,615.2,1.0,1257.959,660.732,1.0,1244.581,705.657,1.0,342.435,299.507,0.996999979019165,,,0.9580000042915344,470.259,557.627,0.996999979019165,262.936,53.738,0.9990000128746033,310.258,112.256,0.9959999918937683,343.573,199.132,0.9990000128746033
2,737.067,410.817,0.9980000257492065,743.018,387.292,0.9990000128746033,749.392,357.769,0.9900000095367432,1264.943,617.09,1.0,1260.239,664.384,1.0,1244.581,706.13,1.0,342.612,299.563,0.9940000176429749,,436.37,,470.394,557.706,0.9990000128746033,262.936,53.738,0.9990000128746033,312.377,113.287,0.9980000257492065,343.87,199.132,0.9990000128746033
3,737.067,410.875,0.996999979019165,743.068,387.292,0.9990000128746033,749.496,357.769,0.9909999966621399,1264.723,617.263,1.0,1260.239,664.384,1.0,1244.581,706.13,1.0,342.435,300.291,0.9980000257492065,,,,470.259,557.706,0.9990000128746033,262.941,54.29,0.9990000128746033,312.389,113.598,0.9980000257492065,343.87,199.24,0.9990000128746033
4,737.067,410.876,0.9980000257492065,743.09,387.292,0.9990000128746033,749.496,357.769,0.9900000095367432,1264.673,617.505,1.0,1260.239,664.384,1.0,1244.581,706.13,1.0,342.435,300.511,0.9980000257492065,410.357,436.37,0.34299999475479126,470.943,557.706,0.9990000128746033,262.941,54.323,0.9990000128746033,312.506,113.617,0.996999979019165,343.87,199.364,0.9990000128746033
5,735.182,423.734,1.0,744.236,385.618,1.0,750.755,357.209,1.0,1264.458,618.584,1.0,1259.511,664.384,1.0,1244.581,704.957,1.0,339.839,301.277,0.9940000176429749,410.3,434.224,0.9819999933242798,471.16,556.603,0.9990000128746033,262.941,54.323,0.9990000128746033,313.22,116.349,0.9990000128746033,343.665,199.24,0.9990000128746033
6,735.165,423.771,1.0,744.236,385.618,1.0,750.933,357.209,1.0,1264.245,618.61,1.0,1259.471,665.302,1.0,1244.336,704.957,1.0,339.839,301.373,0.9940000176429749,406.178,434.032,0.9819999933242798,473.346,556.394,0.9990000128746033,262.936,53.899,0.9990000128746033,313.411,116.71,0.9990000128746033,343.538,199.12,0.9990000128746033
