scorer,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan
individuals,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,tail,tail,head,head,tail,tail,cup_h,cup_h,cup_m,cup_m,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_t,pitcher_t,tap_h,tap_h,tap_m,tap_m,tap_t,tap_t
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
0,1.1328427315038132,1.0,1.4272785241173986,1.0,1.0085248415838162,1.0,0.764675027173514,1.0,1.2710457487030642,1.0,2.948793249709084,1.0,1.9875640710193416,1.0,3.1090908866034868,0.9929999709129333,1.391788717980601,0.9039999842643738,1.4328828122257304,0.996999979019165,0.5953181058355355,0.9980000257492065,4.205123192819292,0.9879999756813049,1.6253956270460217,0.9959999918937683
1,3.0041756051847774,1.0,2.6203112738997993,1.0,2.1447230372670165,1.0,0.9158503260243773,0.9990000128746033,0.8249994071420452,1.0,3.371932984439981,1.0,2.088568941495728,1.0,2.9665491373909827,0.9890000224113464,7.22941508321065,0.949999988079071,4.489287229608384,0.9890000224113464,3.584306890207505,0.9980000257492065,1.3577125039626563,0.9929999709129333,3.3899765848086494,0.996999979019165
2,2.7352832234385556,1.0,0.5362455817695165,1.0,2.02510782568244,1.0,1.700038281697248,0.9990000128746033,0.9662084655397496,1.0,3.1997198049165085,1.0,0.6435005020368129,1.0,3.5684053644450726,0.9829999804496765,2.1984037376539125,0.9470000267028809,3.311338785794712,0.9800000190734863,2.3158141474857428,0.9980000257492065,4.580678995738642,0.9919999837875366,1.628313306225363,0.996999979019165
3,1.838510712901072,1.0,1.2030435832271786,1.0,1.5945966709182364,1.0,3.016712411550417,1.0,0.7525814439934148,1.0,2.0430527361470383,1.0,0.6965285905084968,1.0,1.709796757553696,0.9660000205039978,7.074839386626005,0.9509999752044678,4.269113584666955,0.9829999804496765,2.2555192445128114,0.9980000257492065,1.8612394795979537,0.9850000143051147,3.8085995268144672,0.9959999918937683
4,4.317450616102194,1.0,2.5308163351899142,1.0,1.9807499329405764,1.0,3.8820761626214955,1.0,2.9302585194199042,1.0,3.1781829373292148,1.0,0.5718157049106455,1.0,0.7491139598258623,0.9739999771118164,2.9850647353714534,0.9039999842643738,3.459392370868713,0.9869999885559082,4.641099322284969,0.9980000257492065,2.2626388881811472,0.9900000095367432,2.9442928566636475,0.996999979019165
5,1.9815768680349493,1.0,3.3078960519493714,1.0,1.8309163835070938,1.0,2.013346584338379,1.0,1.0785428144588218,1.0,0.4949194378860414,1.0,1.4427607976405676,1.0,4.662991085130338,0.9639999866485596,7.047688015816247,0.9300000071525574,6.861842637390508,0.9150000214576721,0.7270207856476402,0.9980000257492065,2.8722549208498434,0.9919999837875366,4.100608241566622,0.996999979019165
6,5.736958823071503,1.0,4.340338847298471,0.9990000128746033,2.5595275267692568,1.0,7.348750054902532,0.9990000128746033,,,3.2938330721379683,0.9390000104904175,14.825926012695426,0.6039999723434448,3.5250914228098864,0.972000002861023,11.139060199414708,0.9580000042915344,3.376844517855398,0.9919999837875366,1.0501690281255034,0.9980000257492065,5.703154790888594,0.9919999837875366,1.5843086673802886,0.996999979019165
7,3.953726190382379,1.0,1.1660890826057322,1.0,1.995534863777126,1.0,1.7328374500804753,0.9990000128746033,1.7072077793622615,1.0,2.6457435041300847,1.0,2.0878793304713885,1.0,1.9874514225737312,0.9710000157356262,8.552629742119645,0.902999997138977,1.501159674113553,0.9900000095367432,2.892856179004342,0.9980000257492065,0.6090733705648883,0.9929999709129333,4.461051845363516,0.996999979019165
8,2.35863538615554,1.0,1.3592405411464223,1.0,3.0735336710018744,1.0,1.4827923393015612,1.0,3.813054792729305,1.0,2.8599446825140786,1.0,0.5377371747771,1.0,0.7154517574206747,0.9649999737739563,6.44359255807463,0.875,3.360792897349208,0.9789999723434448,2.156480417545384,0.9980000257492065,7.804396399750886,0.9919999837875366,1.862286149916042,0.996999979019165
9,2.9060269626121453,1.0,1.5896298312803292,1.0,1.0612428742000342,1.0,4.01260600674309,0.9990000128746033,1.6986306248771852,0.9990000128746033,3.103348502823959,0.9990000128746033,1.0201402070076324,1.0,1.5822347935346637,0.972000002861023,16.066690916998475,0.8199999928474426,2.4227208334131047,0.9879999756813049,0.5909911429372567,0.9980000257492065,4.482652894087093,0.9929999709129333,0.37214436931714834,0.996999979019165
10,4.513662680416364,1.0,1.4850731201019474,1.0,5.495440328892335,1.0,1.742230967648777,1.0,2.1580121349546677,1.0,1.900361659661465,1.0,2.105874908116009,1.0,4.844524315134156,0.9700000286102295,13.193116921874282,0.8970000147819519,3.374306792347881,0.9919999837875366,2.6358184864466825,0.9990000128746033,3.09892967493505,0.9929999709129333,1.7209202608046597,0.9959999918937683
11,1.229358851968364,1.0,1.2703596108566702,1.0,0.17283433538910528,0.9990000128746033,1.8317319763333526,1.0,2.6139137688535845,1.0,4.82473984404031,1.0,1.5532319278965432,1.0,2.7132559876586275,0.9549999833106995,4.920017075455671,0.8889999985694885,5.947206631181103,0.9909999966621399,0.8705502230878134,0.9980000257492065,2.9027767312547494,0.9929999709129333,2.292589608727765,0.9959999918937683
12,2.2000717654354744,1.0,3.622451310800344,1.0,2.415341359164904,1.0,1.5347135900600055,1.0,3.8488400054119785,1.0,1.8930126744379399,1.0,0.27162372299144494,1.0,11.973241789179218,0.9509999752044678,4.940569412238586,0.8830000162124634,0.9651384863458135,0.9909999966621399,3.7740359802176164,0.9980000257492065,1.7503512000440744,0.9929999709129333,3.331441406899824,0.9959999918937683
13,3.4327794376360306,1.0,3.157790793380457,1.0,0.6314098169227709,1.0,0.8474474053024333,1.0,1.3519607246710947,1.0,3.7208890791390585,1.0,1.9056037376241988,1.0,4.6304847946576295,0.972000002861023,9.747298301119656,0.8930000066757202,7.898267360402489,0.9879999756813049,0.8531699962497196,0.9980000257492065,2.2287403747590155,0.9929999709129333,3.2382675064330733,0.9959999918937683
14,3.31313785085414,1.0,1.8267703276422218,0.9990000128746033,2.135675745762157,1.0,1.3828376549092212,1.0,1.9561766188653191,1.0,2.3762237749751915,1.0,4.710416635078667,1.0,5.706145356195743,0.9760000109672546,9.303104546016602,0.8870000243186951,0.6081784696189387,0.9869999885559082,5.311548931666566,0.9980000257492065,5.262351345319067,0.9919999837875366,7.20102820595354,0.9959999918937683
15,5.282527730637217,1.0,3.343352908677649,0.9990000128746033,3.324327313747259,1.0,2.94718416824219,1.0,2.1140640273746603,1.0,1.4343464189531592,1.0,3.6880725536533654,1.0,4.411480127775853,0.9599999785423279,1.4859465480547231,0.9559999704360962,4.109670683756793,0.9860000014305115,1.096542278042131,0.9980000257492065,2.9621544847130843,0.9919999837875366,3.9347198888442496,0.9959999918937683
16,3.5714264250714027,1.0,1.481563146840376,1.0,0.7370421058564742,1.0,1.4606107273318971,1.0,0.7980484310602416,1.0,1.0852474175237103,1.0,3.6140842496521395,1.0,4.904358065156885,0.9779999852180481,5.306985715779075,0.925000011920929,2.597892864558449,0.9879999756813049,2.41345727088457,0.9980000257492065,4.772180681613047,0.9929999709129333,2.0064047169727224,0.9959999918937683
