scorer,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,middle,middle,tail,tail,head,head,middle,middle,tail,tail,cup_h,cup_h,cup_m,cup_m,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_t,pitcher_t,tap_h,tap_h,tap_m,tap_m,tap_t,tap_t
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
0,2.530538545729334,1.0,2.334230389774581,1.0,1.5334566897508708,1.0,,,,,,,2.3757964400837244,1.0,1.252791162878451,1.0,1.3484877410402893,1.0,3.7058983155831644,0.9980000257492065,8.39221395378717,0.890999972820282,17.868887214794142,0.9639999866485596,5.774158255360804,0.9929999709129333,4.070584587338988,0.9940000176429749,1.6471556655035786,0.996999979019165
1,2.5118840845805575,1.0,0.7008281768396591,1.0,4.463014205080065,1.0,,,,,,,3.838945249979352,1.0,2.118779942100681,1.0,3.6288743370277627,1.0,1.2497410287778026,0.9980000257492065,9.804308156398921,0.890999972820282,14.125461172443659,0.9570000171661377,3.5907589801220796,0.9940000176429749,3.167829048387219,0.9929999709129333,3.0564393327515638,0.9959999918937683
2,1.4795028622155266,1.0,1.0942405108535098,1.0,2.5877119336735115,1.0,1.2538808470225966,1.0,,,,,2.926663767620826,1.0,3.1283558942121132,1.0,0.4169436662170607,1.0,8.287561939296602,0.9980000257492065,15.007195392311022,0.890999972820282,6.47333655095979,0.9729999899864197,3.2679754981737967,0.9890000224113464,3.206932437161799,0.9909999966621399,2.8710155921238925,0.9959999918937683
3,2.3715412237105498,1.0,2.107497967225505,1.0,0.8845156049041759,1.0,1.5537702834453904,0.9990000128746033,,,,,1.3721053643637062,1.0,7.19944700536797,1.0,2.228504295955023,1.0,2.0260724366272456,0.9990000128746033,3.3292444535650336,0.9570000171661377,5.037088632443154,0.9610000252723694,2.072483724157362,0.9919999837875366,7.5892518313385,0.9929999709129333,6.9912397157482955,0.996999979019165
4,0.7589848775282207,1.0,2.335093776843,0.9990000128746033,4.017279165639714,1.0,1.8432139005958286,1.0,,,,,4.176448226591404,1.0,2.6438584655897173,1.0,0.8076057095257904,1.0,4.390238744180762,0.9980000257492065,2.274814004326042,0.9750000238418579,2.592263194728757,0.9589999914169312,7.4768876410214915,0.9909999966621399,2.526555634991943,0.996999979019165,4.94650565979519,0.9980000257492065
5,2.9620876880055533,1.0,5.492199363268935,0.9990000128746033,2.571697371795614,1.0,,,,,,,1.9730983902764383,1.0,3.6792885244645657,1.0,1.4732615200316022,1.0,3.366955227919203,0.9990000128746033,2.9184776978033855,0.9890000224113464,2.6946694288231794,0.9169999957084656,4.996537235523809,0.9919999837875366,5.107940034063582,0.996999979019165,6.309397728966212,0.996999979019165
6,3.2884774789858042,1.0,3.8371459169879754,0.9990000128746033,3.7940811204433684,1.0,,,,,,,3.2869453985559067,1.0,2.975560501234072,1.0,1.4108420144585738,1.0,1.8729498474563837,0.9990000128746033,6.12205934255008,0.9810000061988831,1.73879337626365,0.9729999899864197,3.1541311077617062,0.9929999709129333,4.574301490440284,0.9959999918937683,1.6735552834674312,0.996999979019165
7,4.531514306422304,0.9980000257492065,6.37243251402185,0.9980000257492065,0.8992377479837399,0.9990000128746033,,,,,,,2.7094919085929647,1.0,1.020604358468207,1.0,2.199328758567775,1.0,4.58984980745263,0.996999979019165,2.0391043966623146,0.9779999852180481,1.1255941261113727,0.9900000095367432,1.3555038783105307,0.9940000176429749,1.5209103061551064,0.9980000257492065,2.622342898011942,0.996999979019165
8,3.9410260002389608,0.9980000257492065,2.192617787691223,0.9990000128746033,3.972925272325206,0.9990000128746033,1.4992668894027943,1.0,,,,,1.4601357077592174,1.0,2.9581564000401426,1.0,3.728488644535567,1.0,2.4551023997370605,0.996999979019165,3.7937779537970684,0.9760000109672546,3.8641822174730405,0.9599999785423279,2.1609042622150794,0.9929999709129333,5.343693701199645,0.9980000257492065,1.147473126342209,0.996999979019165
9,1.7544191398851385,0.9950000047683716,3.339349848891342,0.9990000128746033,2.624533002928578,0.9990000128746033,1.9655247015701613,1.0,,,,,1.184693606851785,1.0,4.657050544496597,1.0,2.7689564074506086,1.0,5.247405304246424,0.9929999709129333,4.223399008456137,0.9589999914169312,1.569892268178399,0.9810000061988831,1.6585821891541923,0.9940000176429749,5.554649104588005,0.996999979019165,1.1376388998693134,0.9959999918937683
10,6.529217361406765,0.9950000047683716,0.2790712470445902,0.9980000257492065,0.5939885799262637,0.9990000128746033,1.7124218507183984,1.0,,,,,1.2452631929264302,1.0,2.495648419964279,1.0,1.743855414046868,1.0,5.5505871464174765,0.996999979019165,7.339678659052343,0.9570000171661377,3.648892535592083,0.9909999966621399,0.9761747776060227,0.9929999709129333,3.5971902710922,0.9959999918937683,6.606332143358733,0.996999979019165
11,2.4117135082707133,0.9929999709129333,5.169841256164369,0.9980000257492065,1.713805699903636,0.9990000128746033,1.4868170109840018,1.0,,,,,1.1401683213042682,1.0,1.4859200243198907,1.0,1.8131268375261078,1.0,3.063940991705649,0.9990000128746033,4.607186030952471,0.9750000238418579,7.706195549346787,0.984000027179718,7.741401147469165,0.9940000176429749,5.230109065961902,0.9929999709129333,1.608568012594764,0.9959999918937683
12,5.125099546215441,0.9860000014305115,7.581475588133433,0.996999979019165,2.802432114457098,0.9990000128746033,3.3173477334422086,1.0,,,,,2.330969479925699,1.0,2.679699038404399,1.0,1.5805246259485237,1.0,3.0710894540850475,0.996999979019165,7.960880057937329,0.9679999947547913,2.9633501387319745,0.984000027179718,1.6660919904394793,0.9909999966621399,6.209470979730657,0.9929999709129333,3.2031783533072917,0.9959999918937683
13,3.280334027642634,0.9879999756813049,2.7899939752630787,0.9990000128746033,2.870766914199249,0.9990000128746033,1.3619615783177872,1.0,,,,,2.4669040420926724,1.0,2.653387205099415,1.0,2.0780248774506176,1.0,0.2268346464302825,0.996999979019165,12.111190841914903,0.8240000009536743,7.102179940486173,0.9660000205039978,2.5248868525792556,0.9940000176429749,4.883908416030445,0.9940000176429749,3.8566570452854063,0.9959999918937683
14,1.9640746503401694,0.996999979019165,6.460827151880424,0.9980000257492065,1.5174151779584266,0.9990000128746033,6.925669692698121,1.0,,,,,1.4000285970952095,1.0,5.765511385433963,1.0,4.353723844753992,1.0,5.145784817870044,0.9980000257492065,25.126769108105943,0.8799999952316284,8.969140261398909,0.9779999852180481,3.618622197081459,0.9900000095367432,10.259007106226942,0.9959999918937683,4.155658330018351,0.996999979019165
