scorer,,,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke
individuals,,,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,,,head,head,middle,middle,tail,tail,head,head,middle,middle,tail,tail,cup_h,cup_h,cup_m,cup_m,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_t,pitcher_t,tap_h,tap_h,tap_m,tap_m,tap_t,tap_t
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,1639767318-left,img147.png,955.7753441802253,472.62858968447415,,,,,,,,,,,1472.0923193465514,624.5490165338254,1452.9694684144656,668.1066214346882,1432.7842368750412,705.2899426915225,538.2597654963441,310.0843567617418,594.5659376852644,430.1333653909494,649.8097292668467,553.3695158421713,502.138824846848,56.17539160793103,545.6964297477109,117.79346683354197,569.0688031091496,203.84629602792984
labeled-data,1639767318-left,img148.png,951.5258217508728,468.37906725512164,956.8377247875634,436.50764903497804,964.2743890389303,407.82337263684883,,,,,,,1468.9051775245375,621.361874711811,1449.7823265924512,665.9818602200121,1435.9713786970556,703.1651814768462,558.4449970357683,307.95959554706553,607.3145049733218,443.94431328634494,648.7473486595086,560.8061800935382,500.01406363217177,58.30015282260729,539.3221461036821,116.73108622620384,568.0064225018115,202.7839154205917
labeled-data,1639767318-left,img151.png,953.650582965549,468.37906725512164,964.2743890389303,431.1957459982875,967.4615308609447,402.5114696001582,,,,,,,1468.905177524537,624.5490165338254,1454.0318490218037,664.9194796126739,1437.0337593043937,703.1651814768462,541.4469073183584,307.95959554706553,595.6283182926026,438.6324102496543,643.435445622818,553.3695158421713,501.0764442395099,56.17539160793103,540.3845267110203,116.73108622620384,566.9440418944733,200.65915420591546
labeled-data,1639767318-left,img156.png,954.7129635728871,469.44144786245977,955.7753441802253,433.3205072129638,960.0248666095778,400.38670838548194,,,,,,,1469.9675581318752,622.4242553191491,1454.0318490218037,665.981860220012,1435.9713786970556,703.1651814768462,537.197384889006,305.8348343323893,596.6906988999407,449.2562163230356,639.1859231934654,553.3695158421713,501.0764442395099,54.05063039325478,542.5092879256965,119.91822804821823,566.9440418944733,201.72153481325358
labeled-data,1639767318-left,img163.png,950.4634411435346,467.3166866477835,955.7753441802253,432.25812660562565,963.2120084315922,400.38670838548194,,,,,,,1468.9051775245375,624.5490165338254,1450.8447071997894,667.0442408273501,1433.8466174823793,706.3523232988606,543.5716685330347,309.02197615440366,596.6906988999407,441.8195520716687,650.8721098741848,553.3695158421713,501.0764442395099,54.05063039325478,544.6340491403728,118.8558474408801,568.0064225018115,201.72153481325358
labeled-data,1639767318-left,img165.png,951.5258217508728,469.44144786245977,957.9001053949015,433.3205072129638,962.149627824254,400.38670838548194,,,,,,,1474.2170805612277,619.2371134971347,1455.0942296291419,665.981860220012,1433.8466174823793,706.3523232988606,536.1350042816679,306.8972149397274,592.4411764705882,438.6324102496543,645.5602068374942,557.6190382715238,502.138824846848,57.23777221526916,543.5716685330347,120.98060865555635,568.0064225018115,199.59677359857733
labeled-data,1639767318-left,img169.png,954.7129635728871,466.2543060404455,957.9001053949015,432.25812660562565,960.0248666095778,401.44908899282007,,,,,,,1469.9675581318756,623.4866359264872,1452.9694684144656,667.0442408273501,1434.9089980897174,701.04042026217,532.9478624596535,305.8348343323893,591.37879586325,432.25812660562565,640.2483038008036,550.1823740201569,500.01406363217177,49.80110796390227,544.6340491403728,118.8558474408801,568.0064225018115,200.65915420591546
labeled-data,1639767318-left,img172.png,952.5882023582109,468.37906725512164,955.7753441802253,429.07098478361127,962.149627824254,400.38670838548194,,,,,,,1468.9051775245375,620.2994941044728,1451.9070878071275,662.7947183979977,1434.9089980897174,704.2275620841843,530.8231012449772,306.8972149397274,591.37879586325,441.8195520716687,637.0611619787893,551.244754627495,501.0764442395099,55.113011000592905,542.5092879256965,118.8558474408801,565.8816612871352,203.84629602792984
labeled-data,1639767318-left,img176.png,952.5882023582109,467.3166866477835,955.7753441802253,432.25812660562565,958.9624860022396,401.44908899282007,,,,,,,1472.0923193465514,617.1123522824585,1452.9694684144656,661.7323377906595,1434.9089980897174,702.1028008695081,538.2597654963441,306.8972149397274,596.6906988999407,438.6324102496543,646.6225874448323,554.4318964495094,501.0764442395099,51.92586917857852,543.5716685330347,120.98060865555635,568.0064225018115,200.65915420591546
labeled-data,1639767318-left,img177.png,952.5882023582109,467.3166866477835,956.8377247875634,432.25812660562565,960.0248666095778,401.44908899282007,,,,,,,1472.0923193465514,620.2994941044728,1451.9070878071275,663.8570990053358,1433.8466174823793,705.2899426915225,530.8231012449772,307.95959554706553,593.5035570779263,437.5700296423162,640.2483038008036,556.5566576641856,502.138824846848,56.17539160793103,543.5716685330347,117.79346683354197,568.0064225018115,200.65915420591546
labeled-data,1639767318-left,img178.png,950.4634411435346,468.37906725512164,956.8377247875634,432.25812660562565,961.0872472169159,402.5114696001582,,,,,,,1472.0923193465514,619.2371134971347,1451.9070878071275,664.9194796126739,1432.7842368750412,705.2899426915225,539.3221461036823,310.0843567617418,599.8778407219551,437.5700296423162,651.934490481523,554.4318964495094,503.20120545418615,52.98824978591665,542.5092879256965,116.73108622620384,566.9440418944733,204.90867663526797
labeled-data,1639767318-left,img185.png,953.650582965549,464.12954482576924,960.0248666095778,429.07098478361127,962.149627824254,401.44908899282007,,,,,,,1473.1546999538896,622.4242553191491,1454.0318490218037,660.6699571833213,1437.0337593043937,697.8532784401556,537.197384889006,310.0843567617418,587.1292734338977,425.8838429615969,643.435445622818,557.6190382715238,501.0764442395099,50.863488571240396,540.3845267110203,116.73108622620384,568.0064225018115,202.7839154205917
labeled-data,1639767318-left,img187.png,951.5258217508728,467.3166866477835,958.9624860022396,431.1957459982875,962.149627824254,400.38670838548194,,,,,,,1468.9051775245375,621.361874711811,1452.9694684144656,663.857099005336,1434.9089980897174,703.1651814768462,532.9478624596535,307.95959554706553,594.5659376852644,437.5700296423162,652.9968710888611,552.3071352348331,496.8269218101574,56.17539160793103,543.5716685330347,112.48156379685133,568.0064225018115,203.84629602792984
labeled-data,1639767318-left,img201.png,953.650582965549,470.5038284697979,956.8377247875634,435.4452684276399,964.2743890389303,401.44908899282007,,,,,,,1467.8427969171994,619.2371134971347,1450.8447071997894,661.7323377906596,1434.9089980897174,702.1028008695081,537.197384889006,306.8972149397274,592.4411764705882,433.3205072129638,641.3106844081417,556.5566576641856,504.2635860615243,51.92586917857852,545.6964297477109,115.66870561886572,566.9440418944733,202.7839154205917
